x	y	cut_x	y_label_idx
哎空调冷风给我打开	HomeAppliance-Control	哎 空调 冷风 给 我 打开	4
帮我把热水器温度调到50度吧	HomeAppliance-Control	帮 我 把 热水器 温度 调到 50 度 吧	4
我想打开吸油烟机	HomeAppliance-Control	我 想 打开 吸油烟机	4
有点冷啊空调帮我关掉	HomeAppliance-Control	有点 冷 啊 空调 帮 我 关掉	4
今天天气太好了，我想拍照，帮我把摄像机设置成连拍模式吧	HomeAppliance-Control	今天天气 太好了 ， 我 想 拍照 ， 帮 我 把 摄像机 设置 成连 拍 模式 吧	4
把电扇的风速调大一些太热了	HomeAppliance-Control	把 电扇 的 风速 调大 一些 太热 了	4
这个空调温度太高了，调低一点儿	HomeAppliance-Control	这个 空调 温度 太高 了 ， 调低 一点儿	4
将空调切换到省电模式行不行呢	HomeAppliance-Control	将 空调 切换 到 省 电 模式 行不行 呢	4
开启水浸传感器	HomeAppliance-Control	开启 水浸 传感器	4
把空调风速调大再调大	HomeAppliance-Control	把 空调 风速 调大 再 调大	4
把电扇风速升到最大	HomeAppliance-Control	把 电扇 风速 升 到 最大	4
帮忙帮冰箱开启节能模式	HomeAppliance-Control	帮忙 帮 冰箱 开启 节能 模式	4
今天需要洗两件真丝衣物，帮我切换到丝绸洗吧	HomeAppliance-Control	今天 需要 洗 两件 真丝 衣物 ， 帮 我 切换 到 丝绸 洗 吧	4
空调风速要最高最强	HomeAppliance-Control	空调 风速 要 最高 最强	4
把空调调高10度可以吗	HomeAppliance-Control	把 空调 调高 10 度 可以 吗	4
我准备看电影了，把灯调暗一些，调到观影模式。	HomeAppliance-Control	我 准备 看 电影 了 ， 把 灯 调暗 一些 ， 调 到 观影 模式 。	4
游泳池蓄水打开	HomeAppliance-Control	游泳池 蓄水 打开	4
把风速开到6了吧空调的	HomeAppliance-Control	把 风速 开到 6 了 吧 空调 的	4
帮我把电饭煲调成煮饭模式。	HomeAppliance-Control	帮 我 把 电饭煲 调 成 煮饭 模式 。	4
空调风速调高百分之25	HomeAppliance-Control	空调 风速 调 高 百分之 25	4
能帮我把空调温度调到22度吗	HomeAppliance-Control	能 帮 我 把 空调 温度 调到 22 度 吗	4
我出门时忘记关电脑了，帮我关掉它	HomeAppliance-Control	我 出门时 忘记 关 电脑 了 ， 帮 我 关掉 它	4
客厅的灯有点暗，帮我把灯调亮些吧	HomeAppliance-Control	客厅 的 灯 有点 暗 ， 帮 我 把 灯 调亮些 吧	4
可以不可以把灯的亮度调高一点	HomeAppliance-Control	可以 不 可以 把 灯 的 亮度 调 高 一点	4
帮我打开智能闹钟，然后矫正一下时间吧	HomeAppliance-Control	帮 我 打开 智能 闹钟 ， 然后 矫正 一下 时间 吧	4
空调可以调到18度吗	HomeAppliance-Control	空调 可以 调到 18 度 吗	4
可以帮我把空调切换到除湿模式吗	HomeAppliance-Control	可以 帮 我 把 空调 切换 到 除湿 模式 吗	4
衣服有些皱了，帮我打开电熨斗。	HomeAppliance-Control	衣服 有些 皱 了 ， 帮 我 打开 电熨斗 。	4
帮我打开客厅的摄像头好吗	HomeAppliance-Control	帮 我 打开 客厅 的 摄像头 好 吗	4
今天太干燥了，帮我打开加湿器。	HomeAppliance-Control	今天 太 干燥 了 ， 帮 我 打开 加湿器 。	4
给我把空调调低温度	HomeAppliance-Control	给 我 把 空调 调低 温度	4
帮我把洗衣机切换到婴儿洗模式吧	HomeAppliance-Control	帮 我 把 洗衣机 切换 到 婴儿 洗 模式 吧	4
开启下蒸烤箱的小面积烧烤功能呢	HomeAppliance-Control	开启 下蒸 烤箱 的 小 面积 烧烤 功能 呢	4
早上八点就可以把智能窗帘拉开了	HomeAppliance-Control	早上 八点 就 可以 把 智能 窗帘 拉开 了	4
冰箱冷冻室温度调成零下17度好不好呢	HomeAppliance-Control	冰箱 冷冻室 温度 调 成 零下 17 度 好不好 呢	4
查询空气净化器还剩下多少	HomeAppliance-Control	查询 空气 净化器 还 剩下 多少	4
可不可以打开空气净化器呀	HomeAppliance-Control	可不可以 打开 空气 净化器 呀	4
准备做烤肉，把蒸烤箱切换到热风烧烤模式吧	HomeAppliance-Control	准备 做 烤肉 ， 把 蒸 烤箱 切换 到 热风 烧烤 模式 吧	4
让洗衣机空气洗试试可以不	HomeAppliance-Control	让 洗衣机 空气 洗 试试 可以 不	4
扫地机器人不要扫地了	HomeAppliance-Control	扫地 机器人 不要 扫地 了	4
把洗衣机调为烘干模式。	HomeAppliance-Control	把 洗衣机 调 为 烘干 模式 。	4
把空调调成最高的温度	HomeAppliance-Control	把 空调 调 成 最高 的 温度	4
给我打开车库自动门	HomeAppliance-Control	给 我 打开 车库 自动门	4
空调风速调到最高	HomeAppliance-Control	空调 风速 调 到 最高	4
我让你打开一下客厅的灯带	HomeAppliance-Control	我 让 你 打开 一下 客厅 的 灯 带	4
天太热了，帮我把空调温度调低三度吧。	HomeAppliance-Control	天太热 了 ， 帮 我 把 空调 温度 调低 三度 吧 。	4
帮我把空气净化器调成静音模式	HomeAppliance-Control	帮 我 把 空气 净化器 调 成 静音 模式	4
全屋杀菌模式关闭	HomeAppliance-Control	全屋 杀菌 模式 关闭	4
把空调的制热模式开启	HomeAppliance-Control	把 空调 的 制热 模式 开启	4
下雪了好冷呀，帮我打开取暖器吧	HomeAppliance-Control	下雪 了 好 冷 呀 ， 帮 我 打开 取暖器 吧	4
给空调风速调大些	HomeAppliance-Control	给 空调 风速 调大些	4
空调冷气风速调至13	HomeAppliance-Control	空调 冷气 风速 调至 13	4
查一下电磁炉剩余时间	HomeAppliance-Control	查 一下 电磁炉 剩余时间	4
请将电扇调到3档好么	HomeAppliance-Control	请 将 电扇 调到 3 档好 么	4
给我把音响关了。	HomeAppliance-Control	给 我 把 音响 关 了 。	4
把厨房灯的色温调到白光吧	HomeAppliance-Control	把 厨房 灯 的 色温 调 到 白光 吧	4
30分钟后关闭饮水机	HomeAppliance-Control	30 分钟 后 关闭 饮水机	4
可以让洗衣机进入超快洗模式吗，赶时间呀	HomeAppliance-Control	可以 让 洗衣机 进入 超快 洗 模式 吗 ， 赶时间 呀	4
我要起床，帮我把灯切换到起夜场景模式吧	HomeAppliance-Control	我要 起床 ， 帮 我 把 灯 切换 到 起夜 场景 模式 吧	4
帮我把电暖气调至30度	HomeAppliance-Control	帮 我 把 电暖气 调至 30 度	4
十分钟后打开客厅空调可以吗	HomeAppliance-Control	十分钟 后 打开 客厅 空调 可以 吗	4
开启洗衣机的洗涤模式可以吗	HomeAppliance-Control	开启 洗衣机 的 洗涤 模式 可以 吗	4
电视声音再调大点行不行呢	HomeAppliance-Control	电视 声音 再 调大点 行不行 呢	4
可不可以帮我把加湿器调到1档呢	HomeAppliance-Control	可不可以 帮 我 把 加湿器 调到 1 档 呢	4
想要风扇一直对着我吹，帮我让风扇停止摇头吧	HomeAppliance-Control	想要 风扇 一直 对 着 我 吹 ， 帮 我 让 风扇 停止 摇头吧	4
我已经休息好了，按摩器暂停使用。	HomeAppliance-Control	我 已经 休息 好 了 ， 按摩器 暂停 使用 。	4
帮我把洗衣机的快洗模式打开。	HomeAppliance-Control	帮 我 把 洗衣机 的 快 洗 模式 打开 。	4
去把空调设置为省电模式。	HomeAppliance-Control	去 把 空调 设置 为省 电 模式 。	4
帮我看下冰箱冷藏室里有几个鸡蛋吧	HomeAppliance-Control	帮 我 看 下 冰箱 冷藏室 里 有 几个 鸡蛋 吧	4
扫地机器人帮我关了吧	HomeAppliance-Control	扫地 机器人 帮 我关 了 吧	4
请把所有灯都关掉好吗	HomeAppliance-Control	请 把 所有 灯 都 关掉 好 吗	4
空调能否帮我开开呀	HomeAppliance-Control	空调 能否 帮 我 开开 呀	4
这时候帮我把浴霸切换到暖风模式，太冷啦	HomeAppliance-Control	这时候 帮 我 把 浴霸 切换 到 暖风 模式 ， 太冷 啦	4
想烤点鸡翅来吃下，帮我把蒸烤箱切换到热风烧烤吧	HomeAppliance-Control	想 烤 点 鸡翅 来 吃 下 ， 帮 我 把 蒸 烤箱 切换 到 热风 烧烤 吧	4
空调太低啦调高点儿	HomeAppliance-Control	空调 太低 啦 调高 点儿	4
比较赶时间，帮我把洗衣机调成30分钟快速洗吧	HomeAppliance-Control	比较 赶时间 ， 帮 我 把 洗衣机 调成 30 分钟 快速 洗 吧	4
我准备关闭空调	HomeAppliance-Control	我 准备 关闭 空调	4
开小一点空调风呗	HomeAppliance-Control	开 小 一点 空调 风 呗	4
空调温度需要调低很多降5度吧	HomeAppliance-Control	空调 温度 需要 调低 很多 降 5 度 吧	4
半小时后帮我把微波炉里的饭菜热热吧	HomeAppliance-Control	半小时 后 帮 我 把 微波炉 里 的 饭菜 热热 吧	4
怎么空调风速这么高低点儿	HomeAppliance-Control	怎么 空调 风速 这么 高低 点儿	4
吧空调调低百分之10	HomeAppliance-Control	吧 空调 调低 百分之 10	4
我把昨天的饭菜都放到微波炉里了，中午十二点帮我加热一下吧	HomeAppliance-Control	我 把 昨天 的 饭菜 都 放到 微波炉 里 了 ， 中午 十二点 帮 我 加热 一下 吧	4
我想吹空调了，帮我把客厅空调打开一下	HomeAppliance-Control	我 想 吹 空调 了 ， 帮 我 把 客厅 空调 打开 一下	4
我要和男朋友打视频电话，开下电脑	HomeAppliance-Control	我要 和 男朋友 打 视频 电话 ， 开 下 电脑	4
将电磁炉的温度调节为54摄氏度	HomeAppliance-Control	将 电磁炉 的 温度 调节 为 54 摄氏度	4
我忘记洗衣机有没有关闭，帮我查一下洗衣机状态	HomeAppliance-Control	我 忘记 洗衣机 有没有 关闭 ， 帮 我查 一下 洗衣机 状态	4
离开的时候把空调关了啊	HomeAppliance-Control	离开 的 时候 把 空调 关了 啊	4
这么墨迹呢 空调湿度调高点儿啊	HomeAppliance-Control	这么 墨迹 呢   空调 湿度 调 高 点儿 啊	4
主卧空调风速调大到百分之50	HomeAppliance-Control	主卧 空调 风速 调大到 百分之 50	4
至最大空调风速要	HomeAppliance-Control	至 最大 空调 风速 要	4
帮我把空气净化器打开吧	HomeAppliance-Control	帮 我 把 空气 净化器 打开 吧	4
给我关小到百分之50空调风	HomeAppliance-Control	给 我 关小到 百分之 50 空调 风	4
立马关掉电视机	HomeAppliance-Control	立马 关掉 电视机	4
晚上12点后把空调关了	HomeAppliance-Control	晚上 12 点后 把 空调 关 了	4
把洗衣机调为烘干模式	HomeAppliance-Control	把 洗衣机 调 为 烘干 模式	4
有点闷呢，帮我把空调调为送风模式好吗	HomeAppliance-Control	有点 闷 呢 ， 帮 我 把 空调 调 为 送风 模式 好 吗	4
嗯把空调温度调高点儿	HomeAppliance-Control	嗯 把 空调 温度 调 高 点儿	4
自动换水系统打开游泳池的	HomeAppliance-Control	自动 换水 系统 打开 游泳池 的	4
我等会出门，帮我把电视机关机。	HomeAppliance-Control	我 等 会 出门 ， 帮 我 把 电视机 关机 。	4
中央空调温度调到最低吧，太热啦	HomeAppliance-Control	中央空调 温度 调 到 最低 吧 ， 太热 啦	4
洗衣机开机我要洗衣服	HomeAppliance-Control	洗衣机 开机 我要 洗衣服	4
车库门关闭	HomeAppliance-Control	车库 门 关闭	4
自动报警系统给我关闭	HomeAppliance-Control	自动 报警 系统 给 我 关闭	4
想给孩子做点溶豆，帮我快点打开蒸烤箱吧	HomeAppliance-Control	想 给 孩子 做点 溶豆 ， 帮 我 快点 打开 蒸 烤箱 吧	4
关闭烟雾警报器	HomeAppliance-Control	关闭 烟雾 警报器	4
将电扇灯开一下行不行呢	HomeAppliance-Control	将 电扇 灯开 一下 行不行 呢	4
关闭屋内所有电源	HomeAppliance-Control	关闭 屋内 所有 电源	4
请把暖风调高点啦	HomeAppliance-Control	请 把 暖风 调 高点 啦	4
把台灯调成温馨模式可以不呢	HomeAppliance-Control	把 台灯 调 成 温馨 模式 可以 不 呢	4
浴霸照明灯请打开哈	HomeAppliance-Control	浴霸 照明灯 请 打开 哈	4
开启门窗传感器夜间模式	HomeAppliance-Control	开启 门窗 传感器 夜间 模式	4
太热了，把空调调到最低温	HomeAppliance-Control	太热 了 ， 把 空调 调 到 最低温	4
把客厅灯的色温调为白光	HomeAppliance-Control	把 客厅 灯 的 色温 调 为 白光	4
我要看会书，帮我把台灯开启阅读模式	HomeAppliance-Control	我要 看会书 ， 帮 我 把 台灯 开启 阅读 模式	4
给我空调湿度条到百分之30	HomeAppliance-Control	给 我 空调 湿度 条到 百分之 30	4
想煮粥吃，帮我把电饭煲开启煮粥模式吧	HomeAppliance-Control	想 煮粥 吃 ， 帮 我 把 电饭煲 开启 煮粥 模式 吧	4
空调风速调大点到百分之30	HomeAppliance-Control	空调 风速 调大点 到 百分之 30	4
打开烟雾报警器	HomeAppliance-Control	打开 烟雾 报警器	4
嗯把空调调高	HomeAppliance-Control	嗯 把 空调 调 高	4
查询洗衣机正在使用哪个模式	HomeAppliance-Control	查询 洗衣机 正在 使用 哪个 模式	4
告诉我空气净化器滤芯还有多少	HomeAppliance-Control	告诉 我 空气 净化器 滤芯 还有 多少	4
把卧室空调温度调到恒温模式好吗	HomeAppliance-Control	把 卧室 空调 温度 调 到 恒温 模式 好 吗	4
嗯打开床头阅读灯	HomeAppliance-Control	嗯 打开 床头 阅读 灯	4
要睡觉了将灯关掉好吗	HomeAppliance-Control	要 睡觉 了 将 灯 关掉 好 吗	4
空调调高一点一点儿就行	HomeAppliance-Control	空调 调 高 一点 一点儿 就行	4
能不能让空气净化器静音呢	HomeAppliance-Control	能 不能 让 空气 净化器 静音 呢	4
让蒸烤箱切换到热风对流吧	HomeAppliance-Control	让 蒸 烤箱 切换 到 热风 对流 吧	4
空调风速大点调至百分之30	HomeAppliance-Control	空调 风速 大点 调至 百分之 30	4
汇报下冰箱里面今天过期的食物吧	HomeAppliance-Control	汇报 下 冰箱 里面 今天 过期 的 食物 吧	4
开始准备午饭了，首先帮我把电饭煲切换到快煮饭模式吧	HomeAppliance-Control	开始 准备 午饭 了 ， 首先 帮 我 把 电饭煲 切换 到 快 煮饭 模式 吧	4
把空调风速调成最高的	HomeAppliance-Control	把 空调 风速 调 成 最高 的	4
这时候可以帮我打开洗衣机并切换到智能洗模式吗	HomeAppliance-Control	这时候 可以 帮 我 打开 洗衣机 并 切换 到 智能 洗 模式 吗	4
我想让衣服快点干，让洗衣机进入脱水模式吧	HomeAppliance-Control	我 想 让 衣服 快点 干 ， 让 洗衣机 进入 脱水 模式 吧	4
改成空调最的高温	HomeAppliance-Control	改成 空调 最 的 高温	4
做完饭后油烟味太重，抽油烟机风速调大一点。	HomeAppliance-Control	做 完 饭后 油烟味 太重 ， 抽油烟机 风速 调大 一点 。	4
把灯来个温馨模式看看	HomeAppliance-Control	把 灯来 个 温馨 模式 看看	4
给我把空调风速调到强力	HomeAppliance-Control	给 我 把 空调 风速 调 到 强力	4
打开收音机，我想听下新闻	HomeAppliance-Control	打开 收音机 ， 我 想 听 下 新闻	4
查一下智能窗帘的开关状态	HomeAppliance-Control	查 一下 智能 窗帘 的 开关 状态	4
帮我把家里空调全部关掉吧，准备出去啦	HomeAppliance-Control	帮 我 把 家里 空调 全部 关掉 吧 ， 准备 出去 啦	4
我想做培根披萨，帮我把蒸烤箱切换到披萨模式吧	HomeAppliance-Control	我 想 做 培根 披萨 ， 帮 我 把 蒸 烤箱 切换 到 披萨 模式 吧	4
把洗衣机开启脱水模式吧，我想让衣服快点干	HomeAppliance-Control	把 洗衣机 开启 脱水 模式 吧 ， 我 想 让 衣服 快点 干	4
快去把空调风速最大	HomeAppliance-Control	快 去 把 空调 风速 最大	4
去打开电冰箱的电源。	HomeAppliance-Control	去 打开 电冰箱 的 电源 。	4
关上人体传感器吧	HomeAppliance-Control	关上 人体 传感器 吧	4
唉你给我把温度调高了呀	HomeAppliance-Control	唉 你 给 我 把 温度 调高 了 呀	4
天儿太冷了，我要打开空调	HomeAppliance-Control	天儿 太冷 了 ， 我要 打开 空调	4
把空调温度调高到20摄氏度	HomeAppliance-Control	把 空调 温度 调高到 20 摄氏度	4
帮我打开手电筒	HomeAppliance-Control	帮 我 打开 手电筒	4
今天是回南天，帮我把中央空调切换到除湿模式	HomeAppliance-Control	今天 是 回南天 ， 帮 我 把 中央空调 切换 到 除湿 模式	4
帮我把洗衣机切换到单烘干模式	HomeAppliance-Control	帮 我 把 洗衣机 切换 到 单 烘干 模式	4
空调的温度有点太低了给我关了	HomeAppliance-Control	空调 的 温度 有点 太低 了 给 我关 了	4
电扇风速调小一些。	HomeAppliance-Control	电扇 风速 调小 一些 。	4
关闭厨房烟雾警报器	HomeAppliance-Control	关闭 厨房 烟雾 警报器	4
空调调低点我热	HomeAppliance-Control	空调 调低 点 我 热	4
帮我关闭太阳能热水器	HomeAppliance-Control	帮 我 关闭 太阳能 热水器	4
浴缸自动放水系统打开	HomeAppliance-Control	浴缸 自动 放水 系统 打开	4
将二楼卧室空调关了可不可以呢	HomeAppliance-Control	将 二楼 卧室 空调 关 了 可不可以 呢	4
帮我打开一下卫生间的灯可以吗	HomeAppliance-Control	帮 我 打开 一下 卫生间 的 灯 可以 吗	4
可以让洗衣机空气洗不	HomeAppliance-Control	可以 让 洗衣机 空气 洗 不	4
自动洗碗机的温度调到四十度来消毒	HomeAppliance-Control	自动 洗碗机 的 温度 调 到 四十度 来 消毒	4
帮我让加湿器切换到恒湿调节模式吧	HomeAppliance-Control	帮 我 让 加湿器 切换 到 恒湿 调节 模式 吧	4
对将空调风速调8	HomeAppliance-Control	对 将 空调 风速 调 8	4
加大空调风速	HomeAppliance-Control	加大 空调 风速	4
打开洗碗机	HomeAppliance-Control	打开 洗碗机	4
可以帮我把空调调为节能模式吗	HomeAppliance-Control	可以 帮 我 把 空调 调 为 节能 模式 吗	4
空调往下调低到26度吧	HomeAppliance-Control	空调 往 下 调低 到 26 度 吧	4
帮我打开客厅的灯好吧	HomeAppliance-Control	帮 我 打开 客厅 的 灯 好 吧	4
有点闷了，浴霸切换到换气功能吧	HomeAppliance-Control	有点 闷 了 ， 浴霸 切换 到 换气 功能 吧	4
我想要最大的空调风速 快调一下	HomeAppliance-Control	我 想要 最大 的 空调 风速   快调 一下	4
空气净化器的滤芯还有多少呢，告诉下我吧	HomeAppliance-Control	空气 净化器 的 滤芯 还有 多少 呢 ， 告诉 下 我 吧	4
空调风太大了减一下	HomeAppliance-Control	空调 风太大 了 减 一下	4
快点帮我打开一下热水器吧	HomeAppliance-Control	快点 帮 我 打开 一下 热水器 吧	4
把电熨斗的温度调低。	HomeAppliance-Control	把 电熨斗 的 温度 调低 。	4
将客厅的空气净化器打开吧	HomeAppliance-Control	将 客厅 的 空气 净化器 打开 吧	4
打开门窗传感器	HomeAppliance-Control	打开 门窗 传感器	4
空调风速低五十老人房的	HomeAppliance-Control	空调 风速 低 五十 老人 房 的	4
我等下要去睡觉了，给我关闭电脑。	HomeAppliance-Control	我 等 下 要 去 睡觉 了 ， 给 我 关闭 电脑 。	4
我想要做烤鱼，帮我开下蒸烤箱的上下烤功能吧	HomeAppliance-Control	我 想要 做 烤鱼 ， 帮 我 开下 蒸 烤箱 的 上下 烤 功能 吧	4
将冰箱冷藏室温度调到5度吧	HomeAppliance-Control	将 冰箱 冷藏室 温度 调到 5 度 吧	4
准备睡觉了，帮我把空气净化器调成静音模式吧	HomeAppliance-Control	准备 睡觉 了 ， 帮 我 把 空气 净化器 调 成 静音 模式 吧	4
空调现在关上吧	HomeAppliance-Control	空调 现在 关上 吧	4
微波炉帮我解冻	HomeAppliance-Control	微波炉 帮 我 解冻	4
把电视音量调高到20	HomeAppliance-Control	把 电视 音量 调高到 20	4
好了可以打开暖气阀了	HomeAppliance-Control	好 了 可以 打开 暖 气阀 了	4
风速调至最大你听不到吗空调的	HomeAppliance-Control	风速 调 至 最大 你 听 不到 吗 空调 的	4
马上出门，记得帮我把空气净化器关掉哟	HomeAppliance-Control	马上 出门 ， 记得 帮 我 把 空气 净化器 关掉 哟	4
关了电视机电源	HomeAppliance-Control	关 了 电视机 电源	4
马上到家了，麻烦帮我开一下热水器，我想洗澡。	HomeAppliance-Control	马上 到家 了 ， 麻烦 帮 我 开 一下 热水器 ， 我 想 洗澡 。	4
准备收拾房间，让洗衣机开始洗衣服吧	HomeAppliance-Control	准备 收拾 房间 ， 让 洗衣机 开始 洗衣服 吧	4
等半个小时后关掉电视	HomeAppliance-Control	等 半个 小时 后 关掉 电视	4
半个小时后把电饭煲通电熬粥	HomeAppliance-Control	半个 小时 后 把 电饭煲 通电 熬粥	4
帮我把冷冻室降为负17度吧	HomeAppliance-Control	帮 我 把 冷冻室 降为 负 17 度 吧	4
帮我把电扇调到1档可不可以呢	HomeAppliance-Control	帮 我 把 电扇 调到 1 档 可不可以 呢	4
我今天想喝果汁，把榨汁机打开。	HomeAppliance-Control	我 今天 想 喝 果汁 ， 把 榨汁机 打开 。	4
快给我把空调调高	HomeAppliance-Control	快给我 把 空调 调 高	4
把空调再调低一些	HomeAppliance-Control	把 空调 再 调低 一些	4
再将空调风速调大三格	HomeAppliance-Control	再 将 空调 风速 调 大三 格	4
可以帮我把蒸烤箱提前预热到200度嘛	HomeAppliance-Control	可以 帮 我 把 蒸 烤箱 提前 预热 到 200 度 嘛	4
浴霸切换到换气功能行嘛	HomeAppliance-Control	浴霸 切换 到 换气 功能 行嘛	4
把空调给我调高6度	HomeAppliance-Control	把 空调 给 我 调高 6 度	4
设置电视进入儿童模式。	HomeAppliance-Control	设置 电视 进入 儿童 模式 。	4
空调往上调高到28	HomeAppliance-Control	空调 往 上调 高到 28	4
这个智能音响可以打开，我想听听歌	HomeAppliance-Control	这个 智能 音响 可以 打开 ， 我 想 听听 歌	4
我希望当我醒了电视能自动打开播放新闻	HomeAppliance-Control	我 希望 当 我 醒 了 电视 能 自动 打开 播放 新闻	4
能否帮我打开热水机呢，我想喝热水	HomeAppliance-Control	能否 帮 我 打开 热水 机 呢 ， 我 想 喝 热水	4
空气净化器可以关上了，我一会要出门	HomeAppliance-Control	空气 净化器 可以 关上 了 ， 我 一会 要 出门	4
我需要你打开全屋杀菌模式	HomeAppliance-Control	我 需要 你 打开 全屋 杀菌 模式	4
打开收音机，我想听岳云鹏的相声	HomeAppliance-Control	打开 收音机 ， 我 想 听 岳云鹏 的 相声	4
帮忙把空调调为制热模式	HomeAppliance-Control	帮忙 把 空调 调 为 制热 模式	4
现在温度升高了，帮我把空调温度调到二十度。	HomeAppliance-Control	现在 温度 升高 了 ， 帮 我 把 空调 温度 调 到 二十度 。	4
天气变热了，冰箱温度调低一档。	HomeAppliance-Control	天气 变热 了 ， 冰箱 温度 调低 一档 。	4
我说给我打开所有的窗户	HomeAppliance-Control	我 说 给 我 打开 所有 的 窗户	4
可否帮我把浴霸开启强暖模式呢	HomeAppliance-Control	可否 帮 我 把 浴霸 开启 强暖 模式 呢	4
要午睡了，空气净化器调为睡眠模式好吗	HomeAppliance-Control	要 午睡 了 ， 空气 净化器 调 为 睡眠 模式 好 吗	4
准备出门，把家里所有的灯都关掉吧	HomeAppliance-Control	准备 出门 ， 把 家里 所有 的 灯 都 关掉 吧	4
给我打开全屋杀菌模式	HomeAppliance-Control	给 我 打开 全屋 杀菌 模式	4
自动报警系统关闭	HomeAppliance-Control	自动 报警 系统 关闭	4
可以试试蒸烤箱的3D热风模式不	HomeAppliance-Control	可以 试试 蒸 烤箱 的 3D 热风 模式 不	4
今天卧室空调的风速开到最大	HomeAppliance-Control	今天 卧室 空调 的 风速 开 到 最大	4
嗯把空调温度调低点儿	HomeAppliance-Control	嗯 把 空调 温度 调低 点儿	4
我要存放一些虾，帮我把变温抽屉开到珍品档好吗	HomeAppliance-Control	我要 存放 一些 虾 ， 帮 我 把 变温 抽屉 开 到 珍品 档好 吗	4
这时候想让空调上下扫风行不行呢	HomeAppliance-Control	这时候 想 让 空调 上下 扫 风行 不行 呢	4
可以不可以把浴霸切换到制热功能	HomeAppliance-Control	可以 不 可以 把 浴霸 切换 到 制热 功能	4
还能不能打开自动报警系统了	HomeAppliance-Control	还 能 不能 打开 自动 报警 系统 了	4
打开电视。	HomeAppliance-Control	打开 电视 。	4
卧室灯光有点刺眼，设成暖光可以吗	HomeAppliance-Control	卧室 灯光 有点 刺眼 ， 设成 暖光 可以 吗	4
打开天猫精灵，让它为我讲笑话	HomeAppliance-Control	打开 天猫 精灵 ， 让 它 为 我 讲 笑话	4
我想把音响的音质调到安静	HomeAppliance-Control	我 想 把 音响 的 音质 调 到 安静	4
我要小小的空调风速	HomeAppliance-Control	我要 小小的 空调 风速	4
能不能把空调调整为节能模式呢	HomeAppliance-Control	能 不能 把 空调 调整 为 节能 模式 呢	4
能不能帮我打开音响	HomeAppliance-Control	能 不能 帮 我 打开 音响	4
听不见呀，帮我把电视开大点声吧	HomeAppliance-Control	听不见 呀 ， 帮 我 把 电视 开大点 声 吧	4
打开音响，播放歌曲	HomeAppliance-Control	打开 音响 ， 播放歌曲	4
调很大很大的空调风速	HomeAppliance-Control	调 很大 很大 的 空调 风速	4
