x	y	cut_x	y_label_idx
给我放一个天蚕土豆的网络玄幻小说	Audio-Play	给 我 放 一个 天蚕 土豆 的 网络 玄幻 小说	1
请播放故事火龙爸爸戒烟记	Audio-Play	请 播放 故事 火龙 爸爸 戒烟 记	1
全文对郑秀文只字不提	Audio-Play	全文 对 郑秀文 只字不提	1
你听过全球进化的有声小说吗	Audio-Play	你 听 过 全球 进化 的 有声 小说 吗	1
帮我播一下路知行和魏超合作的广播剧	Audio-Play	帮 我播 一下 路 知行 和 魏超 合作 的 广播剧	1
给我找个柳宗元的诗词来播	Audio-Play	给 我 找个 柳宗元 的 诗词 来播	1
七天爱上你的大部分浪漫的爱情故事都是发生在这里	Audio-Play	七天 爱上你 的 大部分 浪漫 的 爱情故事 都 是 发生 在 这里	1
我想听郭麒麟岳云鹏的经典相声三大才子	Audio-Play	我 想 听 郭 麒麟 岳云鹏 的 经典 相声 三大 才子	1
现在给我播一个英文版的格林童话吧	Audio-Play	现在 给 我播 一个 英文版 的 格林童话 吧	1
请用英文放国王与鹤这个故事	Audio-Play	请 用 英文 放 国王 与 鹤 这个 故事	1
我想听一个小品献爱心	Audio-Play	我 想 听 一个 小品 献爱心	1
我要听用法语讲的顽皮的孩子的故事	Audio-Play	我要 听用 法语 讲 的 顽皮 的 孩子 的 故事	1
我想听悬疑小说莫尔格街谋杀案的德语版	Audio-Play	我 想 听 悬疑 小说 莫 尔格 街 谋杀案 的 德语 版	1
循环的给我播放故诗九月九九日忆东山兄弟	Audio-Play	循环 的 给 我 播放 故诗 九月九 九日 忆 东山 兄弟	1
播放小熊种树这个故事来听一下把	Audio-Play	播放 小熊 种树 这个 故事 来 听 一下 把	1
放一下法国作家雨果的小说九三年	Audio-Play	放 一下 法国 作家 雨果 的 小说 九三年	1
给我找出景向谁依的广播剧听听	Audio-Play	给 我 找出 景向 谁 依 的 广播剧 听听	1
我想听英文版小说天黑前的夏天	Audio-Play	我 想 听 英文版 小说 天黑 前 的 夏天	1
给我找一个鲁迅的小说来播吧	Audio-Play	给 我 找 一个 鲁迅 的 小说 来播 吧	1
循环播放一下庄周梦蝶这个寓言	Audio-Play	循环 播放 一下 庄周梦蝶 这个 寓言	1
帮我续播鲁迅的小说呐喊第三章	Audio-Play	帮 我续播 鲁迅 的 小说 呐喊 第三章	1
找一首辛弃疾的诗词来播一下	Audio-Play	找 一首 辛弃疾 的 诗词 来播 一下	1
循环播放赵本山的小品听	Audio-Play	循环 播放 赵本山 的 小品 听	1
播放你是我的城池的有声小说	Audio-Play	播放 你 是 我 的 城池 的 有声 小说	1
播放曹操的短歌行	Audio-Play	播放 曹操 的 短歌行	1
请循环给播一下忠实的朋友这个故事	Audio-Play	请 循环 给播 一下 忠实 的 朋友 这个 故事	1
现在循环播放一下安徒生的童话故事海的女儿	Audio-Play	现在 循环 播放 一下 安徒生 的 童话故事 海 的 女儿	1
我想听小说安娜卡列尼娜的俄语版	Audio-Play	我 想 听 小说 安娜 卡列尼 娜 的 俄语 版	1
找一个余秋雨的小说放来听	Audio-Play	找 一个 余秋雨 的 小说 放来 听	1
现在请给我续播韩寒的一座城池第二十章	Audio-Play	现在 请 给 我续播 韩寒 的 一座 城池 第二十章	1
所以在此背景下成长的陈玉莲比较单纯	Audio-Play	所以 在 此 背景 下 成长 的 陈玉莲 比较 单纯	1
放一个睡美人的故事给我听	Audio-Play	放 一个 睡美人 的 故事 给 我 听	1
循环播一下2017年春晚小品我要生二胎来听	Audio-Play	循环 播 一下 2017 年 春晚 小品 我要 生二胎 来 听	1
而卫诗因涉藏海洛英一直被扣押遭日警扣押六零日	Audio-Play	而卫诗 因涉 藏 海洛英 一直 被 扣押 遭日警 扣押 六零 日	1
歌舞青春男女主角演员名称	Audio-Play	歌舞 青春 男女 主角 演员 名称	1
现在请给我放一个故事豌豆上的公主英文版的	Audio-Play	现在 请 给 我 放 一个 故事 豌豆 上 的 公主 英文版 的	1
续播红玫瑰与白玫瑰的第十三集小说	Audio-Play	续播 红玫瑰 与 白玫瑰 的 第十三 集 小说	1
继续播斯蒂芬.金的惊悚小说惊悚人间第五章英文版的	Audio-Play	继续 播 斯蒂芬 . 金 的 惊悚 小说 惊悚 人间 第五章 英文版 的	1
给播咏柳这首古诗	Audio-Play	给播 咏柳 这首 古诗	1
播放周浩晖的破案小说死亡通知单	Audio-Play	播放 周浩晖 的 破案 小说 死亡 通知单	1
孟鹤堂和周九良的相声播一下	Audio-Play	孟鹤堂 和 周九良 的 相声 播 一下	1
麻烦给我播放郭德纲和于谦的对口相声	Audio-Play	麻烦 给 我 播放 郭德纲 和 于 谦 的 对口相声	1
请播放莫泊桑的小说项链法语版的	Audio-Play	请 播放 莫泊桑 的 小说 项链 法语 版 的	1
播一个景向谁依配音的悬疑广播剧	Audio-Play	播 一个 景向 谁 依 配音 的 悬疑 广播剧	1
听一个搞笑小品非诚勿扰	Audio-Play	听 一个 搞笑 小品 非诚 勿扰	1
其中以孙府第一高手韩棠和小蝶的丫环花儿为代表	Audio-Play	其中 以孙府 第一 高手 韩棠 和 小蝶 的 丫环 花儿 为 代表	1
重播2017年蔡明的春晚小品看车听	Audio-Play	重播 2017 年 蔡明 的 春晚 小品 看车 听	1
播放岳云鹏的相声非一般的爱情来听	Audio-Play	播放 岳云鹏 的 相声 非 一般 的 爱情 来 听	1
给我放一下精卫填海这个故事吧	Audio-Play	给 我 放 一下 精卫填海 这个 故事 吧	1
睡前续播沈从文的边城第五章来听	Audio-Play	睡 前续播 沈从文 的 边城 第五章 来 听	1
我要看经典咏流传	Audio-Play	我要 看 经典 咏 流传	1
讲一讲对牛弹琴这个小故事吧	Audio-Play	讲 一 讲 对牛弹琴 这个 小 故事 吧	1
给我讲一个三只小猪的故事来听	Audio-Play	给 我 讲 一个 三只 小猪 的 故事 来 听	1
我要听普希金的渔夫和金鱼的故事的英文版的	Audio-Play	我要 听 普希金 的 渔夫 和 金鱼 的 故事 的 英文版 的	1
播一个姜广涛配音的悬疑广播剧	Audio-Play	播 一个 姜广涛 配音 的 悬疑 广播剧	1
有声小说赘婿给我播一下	Audio-Play	有声 小说 赘婿 给 我播 一下	1
放郭德纲2020年的最新相声做梦专家来听	Audio-Play	放 郭德纲 2020 年 的 最新 相声 做梦 专家 来 听	1
主人公穿越的有声小说随便播一个吧	Audio-Play	主人公 穿越 的 有声 小说 随便 播 一个 吧	1
播放2021年春晚小品开往春天的幸福开车听	Audio-Play	播放 2021 年 春晚 小品 开往 春天 的 幸福 开车 听	1
现在开始循环播放格林童话中的故事好吗	Audio-Play	现在 开始 循环 播放 格林童话 中 的 故事 好 吗	1
请给我续播小说我的叔叔于勒的第五章英文版的	Audio-Play	请 给 我续播 小说 我 的 叔叔 于勒 的 第五章 英文版 的	1
继续给我播放上次那个小说午夜谋杀的第八节	Audio-Play	继续 给 我 播放 上次 那个 小说 午夜 谋杀 的 第八节	1
给我讲一下宝莲灯这个故事吧	Audio-Play	给 我 讲 一下 宝莲灯 这个 故事 吧	1
现在给我续播沃森的别相信别人的第三章	Audio-Play	现在 给 我续 播沃森 的 别 相信 别人 的 第三章	1
放侠客行这首诗来听	Audio-Play	放 侠客行 这首 诗来 听	1
作者是淮上的广播剧播放一个给我	Audio-Play	作者 是 淮上 的 广播剧 播放 一个 给 我	1
给小孩子放一个皇帝的新装的故事吧	Audio-Play	给 小孩子 放 一个 皇帝 的 新装 的 故事 吧	1
放一下自私的巨人这个故事给我听吧	Audio-Play	放 一下 自私 的 巨人 这个 故事 给 我 听 吧	1
现在请播放小说城市之光	Audio-Play	现在 请 播放 小说 城市之光	1
有声小说乔家的儿女给我播一下	Audio-Play	有声 小说 乔家 的 儿女 给 我播 一下	1
请给我播放杜牧的诗词	Audio-Play	请 给 我 播放 杜牧 的 诗词	1
给我找个南派三叔的小说吧	Audio-Play	给 我 找个 南派 三叔 的 小说吧	1
播一下一个贵族盒他的女儿们这个故事给大家听	Audio-Play	播 一下 一个 贵族 盒 他 的 女儿 们 这个 故事 给 大家 听	1
播一个格林童话里的故事英文版的来听	Audio-Play	播 一个 格林童话 里 的 故事 英文版 的 来 听	1
放惊悚小说邪神复苏的俄语版来听	Audio-Play	放 惊悚 小说 邪神 复苏 的 俄语 版来 听	1
给我找一个唐家三少的玄幻小说来听	Audio-Play	给 我 找 一个 唐家 三少 的 玄幻 小说 来 听	1
播一个周德东的惊悚小说	Audio-Play	播 一个 周德东 的 惊悚 小说	1
刘兰芳讲的赵匡胤演义播放一下	Audio-Play	刘兰芳 讲 的 赵匡胤 演义 播放 一下	1
放静夜思这首诗来给我听	Audio-Play	放 静夜 思 这首 诗来 给 我 听	1
请给我循环播一下行路难这首诗	Audio-Play	请 给 我 循环 播 一下 行路难 这首 诗	1
给我续播忘语的小说玄界之门二十章	Audio-Play	给 我续播 忘语 的 小说 玄界 之门 二十 章	1
放唐家三少正连载的网文斗罗大陆给大家听	Audio-Play	放 唐家 三少 正 连载 的 网 文斗 罗 大陆 给 大家 听	1
作者是引路星的广播剧播放一个给我	Audio-Play	作者 是 引路 星 的 广播剧 播放 一个 给 我	1
快给播一个安徒生的两个姑娘的故事	Audio-Play	快给播 一个 安徒生 的 两个 姑娘 的 故事	1
接着上次的续播一下百万英镑法语版的第五章来听	Audio-Play	接着 上次 的 续播 一下 百万英镑 法语 版 的 第五章 来 听	1
请给我循环播放伊索寓言书里的	Audio-Play	请 给 我 循环 播放 伊索 寓言 书里 的	1
我要听辰燃的惊悚小说末日边缘	Audio-Play	我要 听辰燃 的 惊悚 小说 末日 边缘	1
给小朋友放春晓这首诗	Audio-Play	给 小朋友 放 春晓 这首 诗	1
续播四大名著红楼梦小说的第五十章	Audio-Play	续播 四大名著 红楼梦 小说 的 第五十章	1
随便播一个重生的有声小说	Audio-Play	随便 播 一个 重生 的 有声 小说	1
现在请播放故事勇敢的猎人来听	Audio-Play	现在 请 播放 故事 勇敢 的 猎人 来 听	1
请用英文播放小意达的花儿这个故事	Audio-Play	请 用 英文 播放 小意 达 的 花儿 这个 故事	1
麻烦给我播放杨天翔主役的广播剧	Audio-Play	麻烦 给 我 播放 杨天翔 主役 的 广播剧	1
帮我播放郭麒麟和岳云鹏的对口相声	Audio-Play	帮 我 播放 郭 麒麟 和 岳云鹏 的 对口相声	1
接着上次的续播龙蛇演义原著书的五十章	Audio-Play	接着 上次 的 续播 龙蛇 演义 原著 书 的 五十 章	1
接着上次的播罪与罚的第五章法语版的	Audio-Play	接着 上次 的 播 罪与罚 的 第五章 法语 版 的	1
现在给我播恐怖小说午夜凶铃日文版的	Audio-Play	现在 给 我播 恐怖 小说 午夜凶铃 日文版 的	1
我现在要听夏日绝句这首诗	Audio-Play	我 现在 要 听 夏日 绝句 这首 诗	1
有声小说神藏播放一下	Audio-Play	有声 小说 神藏 播放 一下	1
给我播余秋雨的小说冰河	Audio-Play	给 我播 余秋雨 的 小说 冰河	1
单田芳演播的评书能帮我播一下吗	Audio-Play	单田芳 演播 的 评书 能帮 我播 一下 吗	1
放一下简爱的英文版小说	Audio-Play	放 一下 简爱 的 英文版 小说	1
给我找出姜广涛和袁铭喆合作的广播剧听听	Audio-Play	给 我 找出 姜广涛 和 袁铭喆 合作 的 广播剧 听听	1
我要听恐怖小说死亡名单的英文版	Audio-Play	我要 听 恐怖 小说 死亡 名单 的 英文版	1
放一下聪明的小牧童这个故事	Audio-Play	放 一下 聪明 的 小牧童 这个 故事	1
放一个岳云鹏孙越的相声我们不一样来听一下	Audio-Play	放 一个 岳云鹏 孙越 的 相声 我们 不 一样 来 听 一下	1
放一下萤火虫找朋友这个故事给我听	Audio-Play	放 一下 萤火虫 找 朋友 这个 故事 给 我 听	1
想听奥斯丁的傲慢与偏见英文版	Audio-Play	想 听 奥斯丁 的 傲慢 与 偏见 英文版	1
请用英文播放赠汪伦这首诗	Audio-Play	请 用 英文 播放 赠 汪伦 这首 诗	1
我现在要听英文版的灰姑娘的故事	Audio-Play	我 现在 要 听 英文版 的 灰姑娘 的 故事	1
毛不易的烽火成书给我放一下吧	Audio-Play	毛 不易 的 烽火 成书 给 我 放 一下 吧	1
给我播一个悬疑小说七宗罪	Audio-Play	给 我播 一个 悬疑 小说 七宗罪	1
德云社的相声总不能像老一辈的相声那样让我开怀大笑	Audio-Play	德云社 的 相声 总 不能 像 老一辈 的 相声 那样 让 我 开怀大笑	1
现在放一下著名小说唐吉坷德俄语版的	Audio-Play	现在 放 一下 著名 小说 唐吉坷德 俄语 版 的	1
快给我放把酒问月这首诗	Audio-Play	快给我 放 把酒 问月 这首 诗	1
福利彩票双色球开奖结果	Audio-Play	福利彩票 双色球 开奖 结果	1
现在请循环播放守株待兔这个故事	Audio-Play	现在 请 循环 播放 守株待兔 这个 故事	1
重播一下宋小宝小沈阳的小品以貌取人	Audio-Play	重播 一下 宋 小宝 小 沈阳 的 小品 以貌取人	1
请播今夜宜有彩虹这部推理小说来听	Audio-Play	请播 今夜 宜有 彩虹 这部 推理小说 来 听	1
放一下嫦娥奔月这个故事给我听	Audio-Play	放 一下 嫦娥奔月 这个 故事 给 我 听	1
马上循环播放最宝贵的礼物这个故事	Audio-Play	马上 循环 播放 最 宝贵 的 礼物 这个 故事	1
放一下赵本山小沈阳的小品不差钱吃饭时候听	Audio-Play	放 一下 赵本山 小 沈阳 的 小品 不 差钱 吃饭 时候 听	1
我想听东郭先生和狼的故事	Audio-Play	我 想 听 东郭先生 和 狼 的 故事	1
麻烦给我播放刘琮主役的广播剧	Audio-Play	麻烦 给 我 播放 刘琮 主役 的 广播剧	1
我想听百万英镑小说的英文版	Audio-Play	我 想 听 百万英镑 小说 的 英文版	1
放一个大闹天空的故事给我听	Audio-Play	放 一个 大闹 天空 的 故事 给 我 听	1
我想听小品岳父大人	Audio-Play	我 想 听 小品 岳父 大人	1
现在给我播恰克.帕拉尼克的恐怖小说肠子德语版	Audio-Play	现在 给 我播 恰克 . 帕拉 尼克 的 恐怖 小说 肠子 德语 版	1
放一个郭冬临的小品大年三十来听一下	Audio-Play	放 一个 郭冬临 的 小品 大年三十 来 听 一下	1
放幽默小说变色龙	Audio-Play	放 幽默小说 变色龙	1
我现在想要听岳云鹏的爆笑相声你最红	Audio-Play	我 现在 想要 听岳云鹏 的 爆笑 相声 你 最红	1
帮我播放单田芳的评书	Audio-Play	帮 我 播放 单田芳 的 评书	1
继续播恐怖小说天堂与地狱之间的第五章	Audio-Play	继续 播 恐怖 小说 天堂 与 地狱 之间 的 第五章	1
给我找出来单田芳讲的隋唐演义听听	Audio-Play	给 我 找 出来 单田芳 讲 的 隋唐演义 听听	1
有声小说父母爱情给我播一下	Audio-Play	有声 小说 父母 爱情 给 我播 一下	1
为什么马三立是相声泰斗而侯宝林是相声大师	Audio-Play	为什么 马三立 是 相声 泰斗 而 侯宝林 是 相声 大师	1
请给续播鲁宾逊漂流记的第五章俄语版的小说	Audio-Play	请 给 续播 鲁宾逊 漂流记 的 第五章 俄语 版 的 小说	1
给我讲一个童话故事卖火柴的小女孩	Audio-Play	给 我 讲 一个 童话故事 卖火柴 的 小女孩	1
我要听希腊神话这部小说的法语版	Audio-Play	我要 听 希腊神话 这部 小说 的 法语 版	1
放一个狼来了寓言给大家听吧	Audio-Play	放 一个 狼来了 寓言 给 大家 听 吧	1
马上开始给我循环播放古离别这首诗	Audio-Play	马上 开始 给 我 循环 播放 古 离别 这首 诗	1
播放陈情令的有声小说	Audio-Play	播放 陈情 令 的 有声 小说	1
李宇春爱心纪念版套装明信片将全国发行图	Audio-Play	李宇春 爱心 纪念版 套装 明信片 将 全国 发行 图	1
给我放一个美女与野兽的故事法语版的	Audio-Play	给 我 放 一个 美女 与 野兽 的 故事 法语 版 的	1
帮我播一下天空主役的广播剧	Audio-Play	帮 我播 一下 天空 主役 的 广播剧	1
马上给我放浮城谜事这部小说	Audio-Play	马上 给 我 放 浮城 谜 事 这部 小说	1
请放一个岳云鹏的爆笑相声来听	Audio-Play	请放 一个 岳云鹏 的 爆笑 相声 来 听	1
请给我放一下岳云鹏孙越的相声抢切糕	Audio-Play	请 给 我 放 一下 岳云鹏 孙越 的 相声 抢 切糕	1
我要听柯南的推理小说福尔摩斯探案	Audio-Play	我要 听 柯南 的 推理小说 福尔摩斯 探案	1
放宋小宝的小品特别惊喜来听	Audio-Play	放宋 小宝 的 小品 特别 惊喜 来 听	1
快给我播小说海明威的老人与海	Audio-Play	快给我 播 小说 海明威 的 老人与海	1
现在请给我循环播放十二生肖的故事英文版	Audio-Play	现在 请 给 我 循环 播放 十二生肖 的 故事 英文版	1
麻烦给我播放德云社的群口相声	Audio-Play	麻烦 给 我 播放 德云社 的 群口 相声	1
我现在要听约翰.斯坦贝克的小说愤怒的葡萄这部小说	Audio-Play	我 现在 要 听 约翰 . 斯坦贝克 的 小说 愤怒 的 葡萄 这部 小说	1
作者是priest的广播剧播放一个给我	Audio-Play	作者 是 priest 的 广播剧 播放 一个 给 我	1
说个脑筋急转弯给我听	Audio-Play	说个 脑筋 急转弯 给 我 听	1
播放一下爆笑相声我是一哥	Audio-Play	播放 一下 爆笑 相声 我 是 一哥	1
我要听花木兰这个小故事	Audio-Play	我要 听 花木兰 这个 小 故事	1
给我续播玄幻小说魔兽剑圣异界纵横的第三章	Audio-Play	给 我续播 玄幻 小说 魔兽 剑圣 异界 纵横 的 第三章	1
请放一个小乌鸦喝水的故事	Audio-Play	请放 一个 小 乌鸦 喝水 的 故事	1
泼墨门前默多克妻子邓文迪与章子怡关系很铁	Audio-Play	泼墨 门前 默多克 妻子 邓文迪 与 章子怡 关系 很铁	1
现在请给放无所畏惧的王子这个故事的俄语版	Audio-Play	现在 请 给 放 无所畏惧 的 王子 这个 故事 的 俄语 版	1
快给我播一首李清照的诗词	Audio-Play	快给我 播 一首 李清照 的 诗词	1
接着播放恐怖小说亡灵的舞厅第三章	Audio-Play	接着 播放 恐怖 小说 亡灵 的 舞厅 第三章	1
放一下2020年央视春晚小品走过场听	Audio-Play	放 一下 2020 年 央视春晚 小品 走过场 听	1
我想听一个韩寒写的小说	Audio-Play	我 想 听 一个 韩寒 写 的 小说	1
播一下俄语版的小说追风筝的人来听	Audio-Play	播 一下 俄语 版 的 小说 追 风筝 的 人来 听	1
快给我放一个童话故事玫瑰花精	Audio-Play	快给我 放 一个 童话故事 玫瑰花 精	1
放一下春江花月夜这首古诗来听一下	Audio-Play	放 一下 春江花月夜 这首 古诗 来 听 一下	1
