x	y	cut_x	y_label_idx
想听最好的都给你了，要余佳运给我唱	Music-Play	想 听 最好 的 都 给 你 了 ， 要余 佳运 给 我 唱	5
能给我来一个2021年的古典音乐不呢	Music-Play	能 给 我 来 一个 2021 年 的 古典音乐 不 呢	5
想听英文专辑了，就第stay with you吧，林俊杰的	Music-Play	想 听 英文 专辑 了 ， 就 第 stay   with   you 吧 ， 林俊杰 的	5
完美降落播放，法老他们合唱的	Music-Play	完美 降落 播放 ， 法老 他们 合唱 的	5
随机播放一首纯音乐。	Music-Play	随机 播放 一首 纯音乐 。	5
请按随机播放一首张杰的中文歌曲	Music-Play	请 按 随机 播放 一首 张杰 的 中文歌曲	5
播一首运动风格的中文歌曲	Music-Play	播 一首 运动 风格 的 中文歌曲	5
初爱里面的歌可以随机唱一首吗	Music-Play	初爱 里面 的 歌 可以 随机 唱 一首 吗	5
林俊杰的专辑乐行者随机播放吧	Music-Play	林俊杰 的 专辑 乐行者 随机 播放 吧	5
治愈系的钢琴曲能随便来个听吗	Music-Play	治愈 系 的 钢琴曲 能 随便 来个 听 吗	5
顺序播放李健的歌曲	Music-Play	顺序 播放 李健 的 歌曲	5
1999年发行的歌都播放一遍呢	Music-Play	1999 年 发行 的 歌 都 播放 一遍 呢	5
随机来一首欢快一点的浪漫情歌吧	Music-Play	随机 来 一首 欢快 一点 的 浪漫 情歌 吧	5
来一首差一步里的歌儿	Music-Play	来 一首 差 一步 里 的 歌儿	5
播放一首应景儿的《回到拉萨》，我要郑钧的	Music-Play	播放 一首 应景 儿 的 《 回到 拉萨 》 ， 我要 郑钧 的	5
银临、河图的专辑蚍蜉渡海播放	Music-Play	银临 、 河图 的 专辑 蚍蜉 渡海 播放	5
我想听金莎唱的爱的魔法这首流行音乐	Music-Play	我 想 听 金莎唱 的 爱 的 魔法 这首 流行音乐	5
我需要你来一首许嵩的认错呢	Music-Play	我 需要 你 来 一首 许嵩 的 认错 呢	5
我要陈小熊的歌儿 济南济南吧	Music-Play	我要 陈 小熊 的 歌儿   济南 济南 吧	5
请播放吴涤清版的《梅兰梅兰我爱你》	Music-Play	请 播放 吴涤 清版 的 《 梅兰 梅兰 我爱你 》	5
放一首萨克斯演奏的古典音乐	Music-Play	放 一首 萨克斯 演奏 的 古典音乐	5
我想听英文的情歌呢	Music-Play	我 想 听 英文 的 情歌 呢	5
顺序播放周杰伦的专辑七里香里面的歌	Music-Play	顺序 播放 周杰伦 的 专辑 七里香 里面 的 歌	5
这一生关于你的风景，我要听隔壁老樊唱的	Music-Play	这 一生 关于 你 的 风景 ， 我要 听 隔壁 老樊唱 的	5
我想你给我播放一首表达爱意的钢琴曲呢	Music-Play	我 想 你 给 我 播放 一首 表达 爱意 的 钢琴曲 呢	5
单曲循环一下名侦探柯南里面的主题曲吧	Music-Play	单曲 循环 一下 名 侦探 柯南 里面 的 主题曲 吧	5
黄安90年代的歌随机来一首可以吗	Music-Play	黄安 90 年代 的 歌 随机 来 一首 可以 吗	5
二胡弹奏的人气高的歌曲来一首呢	Music-Play	二胡 弹奏 的 人气 高 的 歌曲 来 一首 呢	5
有没有比较热血的动漫配乐给我来一首吧	Music-Play	有没有 比较 热血 的 动漫 配乐 给 我 来 一首 吧	5
按顺序播放专辑Wuha里的歌曲	Music-Play	按 顺序 播放 专辑 Wuha 里 的 歌曲	5
2000年左右的歌曲给我随机来一首	Music-Play	2000 年 左右 的 歌曲 给 我 随机 来 一首	5
播放齐秦的大约在冬季	Music-Play	播放 齐秦 的 大约 在 冬季	5
你能给我放范丞丞的快乐很简单吗	Music-Play	你 能 给 我 放范丞丞 的 快乐 很 简单 吗	5
是不是能单曲循环一下你不知道的事	Music-Play	是不是 能 单曲 循环 一下 你 不 知道 的 事	5
放一下BEYOND的经典光辉岁月	Music-Play	放 一下 BEYOND 的 经典 光辉 岁月	5
随机来一首2011年的歌	Music-Play	随机 来 一首 2011 年 的 歌	5
听一下张国荣光荣岁月里面的歌吧	Music-Play	听 一下 张国荣 光荣 岁月 里面 的 歌 吧	5
还是想循环播放流行风格的专辑	Music-Play	还是 想 循环 播放 流行 风格 的 专辑	5
放一首rap，放十全九美	Music-Play	放 一首 rap ， 放 十全 九美	5
随机播放一首李冠森的歌曲	Music-Play	随机 播放 一首 李冠森 的 歌曲	5
立刻播放萧忆情的拜无忧	Music-Play	立刻 播放 萧忆情 的 拜 无忧	5
来一首2009年王力宏的曲子吧	Music-Play	来 一首 2009 年 王力宏 的 曲子 吧	5
把悲伤留给自己单曲循环播放	Music-Play	把 悲伤 留给 自己 单曲 循环 播放	5
帮我找蔡徐坤的情人	Music-Play	帮 我 找 蔡 徐坤 的 情人	5
播一下第二街区这张专辑里的第一首循环放	Music-Play	播 一下 第二 街区 这张 专辑 里 的 第一首 循环 放	5
给我听Bieber的justice	Music-Play	给 我 听 Bieber 的 justice	5
来毛不易像我这样的人	Music-Play	来 毛 不易 像 我 这样 的 人	5
我要听周深和王子一起唱的资深庸才	Music-Play	我要 听 周深 和 王子 一起 唱 的 资深 庸才	5
日本歌手米津玄师的日语歌随机来一首呗	Music-Play	日本 歌手 米津 玄师 的 日语 歌 随机 来 一首 呗	5
2007年王力宏的我们的歌播放一下吧	Music-Play	2007 年 王力宏 的 我们 的 歌 播放 一下 吧	5
想听古筝了，来一首铁马吟听听	Music-Play	想 听 古筝 了 ， 来 一首 铁马 吟 听听	5
天韵霍尊里的歌曲现在随机来一首呢	Music-Play	天韵 霍尊里 的 歌曲 现在 随机 来 一首 呢	5
你可以播放一下凤凰传奇的快乐的音乐吗	Music-Play	你 可以 播放 一下 凤凰 传奇 的 快乐 的 音乐 吗	5
播放屠洪刚的专辑风云2里面的歌曲	Music-Play	播放 屠洪刚 的 专辑 风云 2 里面 的 歌曲	5
有中国娃娃的恭喜恭喜就放一下	Music-Play	有 中国娃娃 的 恭喜 恭喜 就 放 一下	5
随机播放韩红的歌	Music-Play	随机 播放 韩红 的 歌	5
单曲循环一个钢琴曲可以吗	Music-Play	单曲 循环 一个 钢琴曲 可以 吗	5
老歌手刀郎的歌来几首吧	Music-Play	老 歌手 刀郎 的 歌来 几首 吧	5
给我唱一个开心的阿拉伯语歌曲呢	Music-Play	给 我 唱 一个 开心 的 阿拉伯语 歌曲 呢	5
播放hold on，Bieber唱的啊	Music-Play	播放 hold   on ， Bieber 唱 的 啊	5
我想听任同祥的唢呐曲到春来	Music-Play	我 想 听任 同祥 的 唢呐 曲到 春来	5
随机播放一首暗杠里的歌曲	Music-Play	随机 播放 一首 暗杠 里 的 歌曲	5
韩语歌随机来一首吧	Music-Play	韩语 歌 随机 来 一首 吧	5
俄语歌有没有比较治愈的放一个	Music-Play	俄语 歌 有没有 比较 治愈 的 放 一个	5
我现在就想听一下郎朗的钢琴曲呢	Music-Play	我 现在 就 想 听 一下 郎朗 的 钢琴曲 呢	5
能不能听一下继续张国荣这张专辑里的歌曲，随机来一首就行	Music-Play	能 不能 听 一下 继续 张国荣 这张 专辑 里 的 歌曲 ， 随机 来 一首 就行	5
来一首90年代的英文歌呗	Music-Play	来 一首 90 年代 的 英文歌 呗	5
播放笙演奏的冬猎	Music-Play	播放 笙 演奏 的 冬猎	5
周杰伦的叶惠美可以顺序播放吗	Music-Play	周杰伦 的 叶惠美 可以 顺序 播放 吗	5
播放林依晨的流行歌非你莫属	Music-Play	播放 林依晨 的 流行歌 非你莫属	5
呼吸之野里面的假摔单曲循环一下吧	Music-Play	呼吸 之野 里面 的 假摔 单曲 循环 一下 吧	5
我想你给我播放胡彦斌的专辑太歌里的歌呢	Music-Play	我 想 你 给 我 播放 胡彦斌 的 专辑 太歌 里 的 歌 呢	5
唱一首英文流行歌曲呢	Music-Play	唱 一首 英文 流行歌曲 呢	5
王菲和陈奕迅的合唱歌曲传奇播放一下	Music-Play	王菲 和 陈奕迅 的 合唱 歌曲 传奇 播放 一下	5
给我把凤凰传奇的歌顺序播放吧	Music-Play	给 我 把 凤凰 传奇 的 歌 顺序 播放 吧	5
最近比较火的孤影单曲循环吧	Music-Play	最近 比较 火 的 孤影 单曲 循环 吧	5
请随机播放一首钢琴曲。	Music-Play	请 随机 播放 一首 钢琴曲 。	5
有没有什么听了就想笑的的德语歌	Music-Play	有没有 什么 听 了 就 想 笑 的 的 德语 歌	5
有没有新的适合表白氛围的歌曲播放一下啊	Music-Play	有没有 新 的 适合 表白 氛围 的 歌曲 播放 一下 啊	5
陈鸿宇的步履不停里面的歌曲随机来一首呢	Music-Play	陈鸿宇 的 步履 不停 里面 的 歌曲 随机 来 一首 呢	5
我想要一首很治愈的德语歌听	Music-Play	我 想要 一首 很 治愈 的 德语 歌听	5
你可以找一下2020年最人气的歌曲给我播放吗	Music-Play	你 可以 找 一下 2020 年 最 人气 的 歌曲 给 我 播放 吗	5
来一首钢琴弹唱的勇气	Music-Play	来 一首 钢琴 弹唱 的 勇气	5
随机来一首张国荣的歌曲可以吗	Music-Play	随机 来 一首 张国荣 的 歌曲 可以 吗	5
隔壁老樊的我曾放到按照顺序播放	Music-Play	隔壁 老樊 的 我 曾 放到 按照 顺序 播放	5
下周就要歌唱比赛了，我要单曲循环唱支山歌给党听。	Music-Play	下周 就要 歌唱 比赛 了 ， 我要 单曲 循环 唱支 山歌 给 党 听 。	5
我还想继续听民谣南方姑娘	Music-Play	我 还 想 继续 听 民谣 南方 姑娘	5
我要学韩语，随便放一首	Music-Play	我 要学 韩语 ， 随便 放 一首	5
随机播放陈一发专辑童话镇里的歌儿	Music-Play	随机 播放 陈 一发 专辑 童话 镇里 的 歌儿	5
随机来一首2013年发行的英语歌	Music-Play	随机 来 一首 2013 年 发行 的 英语歌	5
随机来一首陈旭的歌曲可以吗	Music-Play	随机 来 一首 陈旭 的 歌曲 可以 吗	5
我想听一首陈泓宇步履不停里面的歌曲啊	Music-Play	我 想 听 一首 陈泓宇 步履 不停 里面 的 歌曲 啊	5
现在想听80年代的英文歌	Music-Play	现在 想 听 80 年代 的 英文歌	5
你有搞笑的英文歌给我播放吗	Music-Play	你 有 搞笑 的 英文歌 给 我 播放 吗	5
2021年新发行的爵士歌曲随机来一个呢	Music-Play	2021 年 新 发行 的 爵士 歌曲 随机 来 一个 呢	5
来一首八十年代潘美辰的《我想有个家》听听	Music-Play	来 一首 八十年代 潘美辰 的 《 我 想 有 个 家 》 听听	5
给我随机播放一首70年代的英文歌曲	Music-Play	给 我 随机 播放 一首 70 年代 的 英文歌曲	5
有什么歌曲是葫芦丝创作的，按顺序播放我想听一听咯	Music-Play	有 什么 歌曲 是 葫芦丝 创作 的 ， 按 顺序 播放 我 想 听 一 听 咯	5
是不是可以来一首90年代的英文歌给我呢	Music-Play	是不是 可以 来 一首 90 年代 的 英文歌 给 我 呢	5
网络歌曲开业大吉播放	Music-Play	网络 歌曲 开业 大吉 播放	5
周杰伦的2011年的歌曲播放一下可以吧	Music-Play	周杰伦 的 2011 年 的 歌曲 播放 一下 可以 吧	5
播放轻音乐琵琶语	Music-Play	播放 轻音乐 琵琶 语	5
我要听赵雷的成都。	Music-Play	我要 听 赵雷 的 成都 。	5
单曲播放霄磊的叹郁孤	Music-Play	单曲 播放 霄磊 的 叹郁 孤	5
由低苦艾乐队演唱的兰州兰州快帮我播一下	Music-Play	由 低 苦艾 乐队 演唱 的 兰州 兰州 快帮 我播 一下	5
随机来一首薛之谦的歌曲吧	Music-Play	随机 来 一首 薛之谦 的 歌曲 吧	5
kiss me baby这个英文歌是流行音乐中很火的一曲	Music-Play	kiss   me   baby 这个 英文歌 是 流行音乐 中 很 火 的 一曲	5
你能找一个90年代的欢快歌曲给我听听不	Music-Play	你 能 找 一个 90 年代 的 欢快 歌曲 给 我 听听 不	5
你能不能帮我播放一个德语歌曲啊	Music-Play	你 能 不能 帮 我 播放 一个 德语 歌曲 啊	5
一直给我循环甜蜜蜜可以吗	Music-Play	一直 给 我 循环 甜蜜蜜 可以 吗	5
唱一首80年代的古典歌曲给我听听	Music-Play	唱 一首 80 年代 的 古典 歌曲 给 我 听听	5
给我放张雨生的大海	Music-Play	给 我 放 张雨生 的 大海	5
忽然想到琵琶弹的十面埋伏，立即播放	Music-Play	忽然 想到 琵琶 弹 的 十面埋伏 ， 立即 播放	5
我让你给我放一首90年代德语歌曲呢	Music-Play	我 让 你 给 我 放 一首 90 年代 德语 歌曲 呢	5
来一首黄丽玲的她说	Music-Play	来 一首 黄丽玲 的 她 说	5
洗澡的时候给我来一首李荣浩的年少有为。	Music-Play	洗澡 的 时候 给 我 来 一首 李荣浩 的 年 少有 为 。	5
找一首王梓作曲的五十年代的歌曲	Music-Play	找 一首 王梓 作曲 的 五十年代 的 歌曲	5
按照顺序播放一下鸽子里的所有歌曲呢	Music-Play	按照 顺序 播放 一下 鸽子 里 的 所有 歌曲 呢	5
可以给我顺序播放一下林俊杰的乐行者吗	Music-Play	可以 给 我 顺序 播放 一下 林俊杰 的 乐行者 吗	5
我想要听俄语的民谣乐曲	Music-Play	我 想要 听 俄语 的 民谣 乐曲	5
播放摇滚啊，假行僧	Music-Play	播放 摇滚 啊 ， 假 行僧	5
找一首颜人中的歌儿听	Music-Play	找 一首 颜人 中 的 歌儿 听	5
钢琴曲有适合睡觉听的吗，来一首吧	Music-Play	钢琴曲 有 适合 睡觉 听 的 吗 ， 来 一首 吧	5
顺序播放邓紫棋倒数专辑	Music-Play	顺序 播放 邓紫棋 倒数 专辑	5
放一首周杰伦的晴天	Music-Play	放 一首 周杰伦 的 晴天	5
今天适合听有多少爱可以重来，来摇滚版的吧	Music-Play	今天 适合 听 有 多少 爱 可以 重 来 ， 来 摇滚 版 的 吧	5
来一首兴奋的纯音乐给我欣赏一下呢	Music-Play	来 一首 兴奋 的 纯音乐 给 我 欣赏 一下 呢	5
随便放一首那英或者田震的歌儿	Music-Play	随便 放 一首 那英 或者 田震 的 歌儿	5
把周杰伦的告白气球播放一下	Music-Play	把 周杰伦 的 告白 气球 播放 一下	5
我要听民谣曾经的你	Music-Play	我要 听 民谣 曾经 的 你	5
你帮我找一首当前最火的电视剧的主题曲听听	Music-Play	你 帮 我 找 一首 当前 最火 的 电视剧 的 主题曲 听听	5
我想要听一首热血一点的法语歌呢	Music-Play	我 想要 听 一首 热血 一点 的 法语歌 呢	5
想听洞箫演奏的我是不是你最疼爱的人	Music-Play	想 听 洞箫 演奏 的 我 是不是 你 最 疼爱 的 人	5
邓紫棋翻唱的手心的蔷薇打开听会儿	Music-Play	邓紫棋 翻唱 的 手心 的 蔷薇 打开 听 会儿	5
随机听一首许嵩前些年写的歌吧	Music-Play	随机 听 一首 许嵩 前些年 写 的 歌 吧	5
现在听周深的起风了比较有感觉	Music-Play	现在 听 周深 的 起风 了 比较 有 感觉	5
sold out播放，hawk nelson的英文摇滚	Music-Play	sold   out 播放 ， hawk   nelson 的 英文 摇滚	5
我想听贝多芬的古典钢琴曲	Music-Play	我 想 听 贝多芬 的 古典 钢琴曲	5
21世纪最火的歌立刻给我播放呢	Music-Play	21 世纪 最火 的 歌 立刻 给 我 播放 呢	5
我想听一下郎朗的钢琴曲呢	Music-Play	我 想 听 一下 郎朗 的 钢琴曲 呢	5
陈奕迅演唱会唱的歌给我随机来一首吧	Music-Play	陈奕迅 演唱会 唱的歌 给 我 随机 来 一首 吧	5
今年都有什么好听的古典乐播放几首吧	Music-Play	今年 都 有 什么 好听 的 古典 乐 播放 几首 吧	5
我要听英文版的我的梦。	Music-Play	我要 听 英文版 的 我 的 梦 。	5
近期有没有火爆的歌曲，随机来一首吧	Music-Play	近期 有没有 火爆 的 歌曲 ， 随机 来 一首 吧	5
我想听张国荣的音乐呢	Music-Play	我 想 听 张国荣 的 音乐 呢	5
播放Beyond的海阔天空。	Music-Play	播放 Beyond 的 海阔天空 。	5
我想听80年代的中文歌曲	Music-Play	我 想 听 80 年代 的 中文歌曲	5
顺序播放许嵩的歌曲吧	Music-Play	顺序 播放 许嵩 的 歌曲 吧	5
可以给我听一个今年新发的古典乐么	Music-Play	可以 给 我 听 一个 今年 新发 的 古典 乐 么	5
2019年的搞笑歌曲随便来一首听听	Music-Play	2019 年 的 搞笑 歌曲 随便 来 一首 听听	5
我想要听朝九晚五里的歌，按顺序播放就行	Music-Play	我 想要 听 朝九晚五 里 的 歌 ， 按 顺序 播放 就行	5
我命令你单曲循环不加糖	Music-Play	我 命令 你 单曲 循环 不 加糖	5
能播放一下过去现在时这个专辑里面的歌吗	Music-Play	能 播放 一下 过去 现在 时 这个 专辑 里面 的 歌 吗	5
我还是成龙这个专辑里的歌随机来一首听听呢	Music-Play	我 还是 成龙 这个 专辑 里 的 歌 随机 来 一首 听听 呢	5
穿过你的黑发的我的手放一下，要罗大佑版的	Music-Play	穿过 你 的 黑发 的 我 的 手放 一下 ， 要 罗大佑 版 的	5
帮我来一首2021年的专辑步履不停里面的歌曲吧	Music-Play	帮 我 来 一首 2021 年 的 专辑 步履 不停 里面 的 歌曲 吧	5
顺序播放合唱专辑Génération Goldman里的歌	Music-Play	顺序 播放 合唱 专辑 G é n é ration   Goldman 里 的 歌	5
现在来一首2021年的专辑步履不停内的歌呢	Music-Play	现在 来 一首 2021 年 的 专辑 步履 不停 内 的 歌 呢	5
随机播放一首爵士曲。	Music-Play	随机 播放 一首 爵士 曲 。	5
可不可以放一些与南山南类似的民谣呢	Music-Play	可不可以 放 一些 与 南 山南 类似 的 民谣 呢	5
能把薛之谦的歌全部顺序播放一遍吗	Music-Play	能 把 薛之谦 的 歌 全部 顺序 播放 一遍 吗	5
美国新出的英文歌曲可以来一首不呢	Music-Play	美国 新出 的 英文歌曲 可以 来 一首 不 呢	5
日语唱的爵士乐来一首吧	Music-Play	日语 唱 的 爵士乐 来 一首 吧	5
播放说唱歌曲慢热	Music-Play	播放 说 唱歌曲 慢热	5
单曲循环Hey Jude这首民谣	Music-Play	单曲 循环 Hey   Jude 这首 民谣	5
是不是可以来一首张国荣的粤语歌曲呢	Music-Play	是不是 可以 来 一首 张国荣 的 粤语 歌曲 呢	5
唱一首歌给我吧，要听英文版的情歌呢	Music-Play	唱 一首歌 给 我 吧 ， 要 听 英文版 的 情歌 呢	5
你能给我唱一个2011年的爵士乐吗	Music-Play	你 能 给 我 唱 一个 2011 年 的 爵士乐 吗	5
给我找一首浪漫的德语歌曲	Music-Play	给 我 找 一首 浪漫 的 德语 歌曲	5
随机来一首运动时候听的歌曲	Music-Play	随机 来 一首 运动 时候 听 的 歌曲	5
我要听日不落的钢琴曲。	Music-Play	我要 听 日不落 的 钢琴曲 。	5
王一博的无感在哪里可以听啊快帮我播放一下	Music-Play	王一博 的 无感 在 哪里 可以 听 啊 快 帮 我 播放 一下	5
请播放网络歌曲请不要在秋天失恋	Music-Play	请 播放 网络 歌曲 请 不要 在 秋天 失恋	5
做胎教的音乐播放手舞足蹈	Music-Play	做 胎教 的 音乐 播放 手舞足蹈	5
麻烦给我单曲循环张艺兴的会好的。	Music-Play	麻烦 给 我 单曲 循环 张艺兴 的 会 好 的 。	5
你现在就给我放一下真爱里面的歌，随便一个就行	Music-Play	你 现在 就 给 我 放 一下 真 爱 里面 的 歌 ， 随便 一个 就行	5
周杰伦唱的不能说的秘密能不能单曲循环播放呀	Music-Play	周杰伦 唱 的 不能 说 的 秘密 能 不能 单曲 循环 播放 呀	5
你能立刻找一首搞笑的英文歌给我听吗	Music-Play	你 能 立刻 找 一首 搞笑 的 英文歌 给 我 听 吗	5
你可以把邓紫棋的泡沫放给我听不	Music-Play	你 可以 把 邓紫棋 的 泡沫 放给 我 听 不	5
我正在循环播放星辰大海	Music-Play	我 正在 循环 播放 星辰 大海	5
是不是可以随机来首薛之谦的歌	Music-Play	是不是 可以 随机 来首 薛之谦 的 歌	5
单曲循环菠萝菠萝蜜	Music-Play	单曲 循环 菠萝 菠萝蜜	5
胡彦斌的大一号里的歌曲随机来一首	Music-Play	胡彦斌 的 大 一号 里 的 歌曲 随机 来 一首	5
你给我随机唱一首邓紫棋的歌吧	Music-Play	你 给 我 随机 唱 一首 邓紫棋 的 歌 吧	5
90后都听什么流行歌曲，给我随机播放一个啊	Music-Play	90 后 都 听 什么 流行歌曲 ， 给 我 随机 播放 一个 啊	5
单曲循环薛之谦的像风一样	Music-Play	单曲 循环 薛之谦 的 像 风 一样	5
2021年黄安传灯里的歌曲随机来一首吧	Music-Play	2021 年 黄安 传灯 里 的 歌曲 随机 来 一首 吧	5
循环播放大鹏的都选C	Music-Play	循环 播放 大鹏 的 都 选 C	5
帮我随机来一首林俊杰2011年的歌吧	Music-Play	帮 我 随机 来 一首 林俊杰 2011 年 的 歌 吧	5
能来一首黄安专辑里面的女儿吗	Music-Play	能 来 一首 黄安 专辑 里面 的 女儿 吗	5
钢琴曲莫扎特的来一首呗	Music-Play	钢琴曲 莫扎特 的 来 一首 呗	5
我要听赵雷的鼓楼	Music-Play	我要 听 赵雷 的 鼓楼	5
2020年快手最人气的歌曲唱一下呢	Music-Play	2020 年 快 手 最 人气 的 歌曲 唱 一下 呢	5
二胡弹奏的曲子有没有人气比较高的来一首	Music-Play	二胡 弹奏 的 曲子 有没有 人气 比较 高 的 来 一首	5
你能播放一些2020年比较浪漫的歌曲吗	Music-Play	你 能 播放 一些 2020 年 比较 浪漫 的 歌曲 吗	5
请播放摇滚歌曲再谈记忆	Music-Play	请 播放 摇滚歌曲 再谈 记忆	5
放一首葫芦丝吹出来的古典乐	Music-Play	放 一首 葫芦丝 吹出来 的 古典 乐	5
随机来几首纯音乐吧	Music-Play	随机 来 几首 纯音乐 吧	5
你能唱一首90年代的经典歌曲给我么	Music-Play	你 能 唱 一首 90 年代 的 经典歌曲 给 我 么	5
放点儿轻音乐，故乡的原风景吧	Music-Play	放 点儿 轻音乐 ， 故乡 的 原 风景 吧	5
顺序播放薛之谦专辑尘	Music-Play	顺序 播放 薛之谦 专辑 尘	5
华晨宇的专辑新世界现在能听吗	Music-Play	华晨 宇 的 专辑 新世界 现在 能 听 吗	5
去年有没有搞笑的歌唱一下给我	Music-Play	去年 有没有 搞笑 的 歌唱 一下 给 我	5
听一下李云迪弹奏的钢琴曲吧	Music-Play	听 一下 李云迪 弹奏 的 钢琴曲 吧	5
找一下黄安的《新鸳鸯蝴蝶梦》播放	Music-Play	找 一下 黄安 的 《 新 鸳鸯蝴蝶 梦 》 播放	5
播放一下华晨宇的烟火里的尘埃吧	Music-Play	播放 一下 华晨 宇 的 烟火 里 的 尘埃 吧	5
华晨宇唱过的歌随机来一首吧	Music-Play	华晨 宇唱过 的 歌 随机 来 一首 吧	5
我需要你给我来一首好听的90年代经典德语歌呢	Music-Play	我 需要 你 给 我 来 一首 好听 的 90 年代 经典 德语 歌 呢	5
能不能随机来一首古筝弹奏的歌曲呢	Music-Play	能 不能 随机 来 一首 古筝 弹奏 的 歌曲 呢	5
随便来一首寻宝游戏里面的歌曲呢	Music-Play	随便 来 一首 寻宝 游戏 里面 的 歌曲 呢	5
我还想听韩红的青藏高原这种经典歌曲	Music-Play	我 还 想 听 韩红 的 青藏高原 这种 经典歌曲	5
请播放2021年发行的专辑我们的主打歌2	Music-Play	请 播放 2021 年 发行 的 专辑 我们 的 主打 歌 2	5
播放王一博的新专辑无感	Music-Play	播放 王一博 的 新专辑 无感	5
顺序播放姐姐、孤独的人是可耻的、蚂蚁三首歌	Music-Play	顺序 播放 姐姐 、 孤独 的 人 是 可耻 的 、 蚂蚁 三 首歌	5
立即播放孙燕姿的克卜勒	Music-Play	立即 播放 孙燕姿 的 克卜勒	5
单曲循环一首可可托海的牧羊人	Music-Play	单曲 循环 一首 可可托海 的 牧羊人	5
随机来一首盖世英雄里的歌曲呢	Music-Play	随机 来 一首 盖世英雄 里 的 歌曲 呢	5
给我顺序播放一下林俊杰专辑的因你而在	Music-Play	给 我 顺序 播放 一下 林俊杰 专辑 的 因 你 而 在	5
开始播放孙语赛的专辑不仅仅是喜欢	Music-Play	开始 播放 孙语赛 的 专辑 不仅仅 是 喜欢	5
Private Corner里面的歌曲随机来一首啊	Music-Play	Private   Corner 里面 的 歌曲 随机 来 一首 啊	5
麻烦放一下一场游戏一场梦，要王杰唱的那个	Music-Play	麻烦 放 一下 一场 游戏 一场 梦 ， 要 王杰 唱 的 那个	5
放一下九十年代的《再回首》听听	Music-Play	放 一下 九十年代 的 《 再回首 》 听听	5
播放腾格尔天堂的现场版	Music-Play	播放 腾格尔 天堂 的 现场版	5
找一首花粥的经典听	Music-Play	找 一首 花粥 的 经典 听	5
2007年出来的电视剧的片头曲来一首吧	Music-Play	2007 年 出来 的 电视剧 的 片头曲 来 一首 吧	5
来个听了让人想哭的英文歌吧	Music-Play	来个 听 了 让 人 想 哭 的 英文歌 吧	5
好想听张国荣的沉默是金	Music-Play	好 想 听 张国荣 的 沉默是金	5
播放汪峰的广安广安	Music-Play	播放 汪峰 的 广安 广安	5
今年点击率最高的英文歌曲唱一下呢	Music-Play	今年 点击率 最高 的 英文歌曲 唱 一下 呢	5
我现在比较喜欢听英文摇滚类的音乐，快帮我播放吧	Music-Play	我 现在 比较 喜欢 听 英文 摇滚 类 的 音乐 ， 快 帮 我 播放 吧	5
我需要一直随机播放薛之谦的歌呢	Music-Play	我 需要 一直 随机 播放 薛之谦 的 歌 呢	5
给我听一会归一里的歌曲呢	Music-Play	给 我 听 一会 归一里 的 歌曲 呢	5
爵士歌曲能随机一首给我吗	Music-Play	爵士 歌曲 能 随机 一首 给 我 吗	5
你给我听一首有点年代感的古典歌曲	Music-Play	你 给 我 听 一首 有点 年代 感 的 古典 歌曲	5
