x	y	cut_x	y_label_idx
我想看一个有点剧情的韩国偶像剧	FilmTele-Play	我 想 看 一个 有点 剧情 的 韩国 偶像剧	3
帮我播放花繁叶茂	FilmTele-Play	帮 我 播放 花繁叶茂	3
我要看一会战争片我是特种兵	FilmTele-Play	我要 看 一会 战争片 我 是 特种兵	3
宫心计我想看是古装剧	FilmTele-Play	宫 心计 我 想 看 是 古装剧	3
特别搞笑的那个剧叫男媒婆放给我乐呵乐呵	FilmTele-Play	特别 搞笑 的 那个 剧叫 男 媒婆 放给 我乐呵乐 呵	3
看一部2020年韩国最火的爱情剧	FilmTele-Play	看 一部 2020 年 韩国 最火 的 爱情 剧	3
播放任素汐主演的驴得水	FilmTele-Play	播放 任素 汐 主演 的 驴 得 水	3
是不是能把连续剧继续播一下呢	FilmTele-Play	是不是 能 把 连续剧 继续 播 一下 呢	3
美国的纪实剧情片可以来一个给我看吗	FilmTele-Play	美国 的 纪实 剧情片 可以 来 一个 给 我 看 吗	3
李现和李一桐演的剑王朝给我放下	FilmTele-Play	李现 和 李一桐 演 的 剑 王朝 给 我 放下	3
能找一个范迪塞尔导演的美剧看看么	FilmTele-Play	能 找 一个 范 迪塞尔 导演 的 美剧 看看 么	3
2014年周星驰导演上线的电影播放一个呢	FilmTele-Play	2014 年 周星驰 导演 上线 的 电影 播放 一个 呢	3
播放2018年以后的言情剧看看	FilmTele-Play	播放 2018 年 以后 的 言情剧 看看	3
帮我找快把我哥带走的第23集	FilmTele-Play	帮 我 找 快 把 我哥 带走 的 第 23 集	3
播放末代皇帝这部传记类的电影。	FilmTele-Play	播放 末代皇帝 这部 传记类 的 电影 。	3
杨幂去年的剧能播放一个吗	FilmTele-Play	杨幂 去年 的 剧能 播放 一个 吗	3
布衣天子的第三集继续播放吧	FilmTele-Play	布衣 天子 的 第三集 继续 播放 吧	3
请播放当幸福来敲门这部传记类电影。	FilmTele-Play	请 播放 当 幸福 来 敲门 这部 传记类 电影 。	3
找到金色索玛花播放	FilmTele-Play	找到 金色 索玛花 播放	3
给我放一下90年代美国电影肖申克的救赎	FilmTele-Play	给 我 放 一下 90 年代 美国 电影 肖申克 的 救赎	3
你能帮我播一下杨新宇和王之导演的这个世界不看脸吗	FilmTele-Play	你 能 帮 我播 一下 杨新宇 和 王 之 导演 的 这个 世界 不看 脸 吗	3
我想看前面看的清宫剧如懿传的第三集	FilmTele-Play	我 想 看 前面 看 的 清宫 剧如懿传 的 第三集	3
我现在就要看美国演员安妮海瑟薇的剧呢	FilmTele-Play	我 现在 就要 看 美国 演员 安妮 海瑟薇 的 剧 呢	3
播放林依晨和张彬彬参演的小女花不弃	FilmTele-Play	播放 林依晨 和 张 彬彬 参演 的 小女 花不弃	3
从第一集开始播放如懿传吧	FilmTele-Play	从 第一集 开始 播放 如懿传 吧	3
继续播放来那个言情剧吧	FilmTele-Play	继续 播放 来 那个 言情剧 吧	3
毒液2继续给我播放可以吗	FilmTele-Play	毒液 2 继续 给 我 播放 可以 吗	3
刺杀小说家能播吗，好像是奇幻电影	FilmTele-Play	刺杀 小说家 能播 吗 ， 好像 是 奇幻 电影	3
你能继续给我播放西游记这个电视剧吗	FilmTele-Play	你 能 继续 给 我 播放 西游记 这个 电视剧 吗	3
能帮我播一下大陆的悬疑剧御赐小仵作吧	FilmTele-Play	能帮 我播 一下 大陆 的 悬疑剧 御赐 小 仵作 吧	3
可不可以继续播一下陪你一起长大啊	FilmTele-Play	可不可以 继续 播 一下 陪 你 一起 长大 啊	3
是否可以来继续顶楼上次看到的地方啊	FilmTele-Play	是否 可以 来 继续 顶楼 上次 看到 的 地方 啊	3
播放张译和刘浩存主演的悬崖之上	FilmTele-Play	播放 张译 和 刘浩存 主演 的 悬崖 之上	3
孙茜演的枫叶红了1点75倍速播	FilmTele-Play	孙茜演 的 枫叶 红 了 1 点 75 倍速 播	3
青春剧你好旧时光我想看它	FilmTele-Play	青春 剧 你好 旧 时光 我 想 看 它	3
迪丽热巴的那个剧能连着上次看到的地方播放吗	FilmTele-Play	迪丽 热巴 的 那个 剧能 连 着 上次 看到 的 地方 播放 吗	3
杨紫的古代偶像剧现在给我播放一个行不行呢	FilmTele-Play	杨 紫 的 古代 偶像剧 现在 给 我 播放 一个 行不行 呢	3
1点5倍速播给我看公主小妹台湾偶像剧	FilmTele-Play	1 点 5 倍速 播给 我 看 公主 小妹 台湾 偶像剧	3
给我按顺序播放喜剧爱情公寓	FilmTele-Play	给 我 按 顺序 播放 喜剧 爱情 公寓	3
我要续播完美的他。	FilmTele-Play	我 要续播 完美 的 他 。	3
播放古董局中局	FilmTele-Play	播放 古董 局中局	3
我想看一个中国演员的古力娜扎的电视剧看一会	FilmTele-Play	我 想 看 一个 中国 演员 的 古力 娜 扎 的 电视剧 看 一会	3
林心如的古装剧随便来一个播放吧	FilmTele-Play	林心如 的 古装剧 随便 来 一个 播放 吧	3
陈建斌和李一桐主演的2020年播出的电视剧爱我就别想太多播放一下可以吗	FilmTele-Play	陈建斌 和 李一桐 主演 的 2020 年 播出 的 电视剧 爱 我 就 别想 太多 播放 一下 可以 吗	3
找一个2009年左右的剧情剧给我看	FilmTele-Play	找 一个 2009 年 左右 的 剧情 剧给 我 看	3
你可以给我播放一下2019年的电影飞驰人生吗	FilmTele-Play	你 可以 给 我 播放 一下 2019 年 的 电影 飞驰 人生 吗	3
我想你给我播放日本的Re:从零开始的异世界生活	FilmTele-Play	我 想 你 给 我 播放 日本 的 Re : 从零开始 的 异 世界 生活	3
长歌行这部电视剧49集麻烦在九点二十分播放。	FilmTele-Play	长 歌行 这部 电视剧 49 集 麻烦 在 九点 二十分 播放 。	3
2002年的武侠片少年黄飞鸿找出了我要重温	FilmTele-Play	2002 年 的 武侠片 少年 黄飞鸿 找出 了 我 要 重温	3
我需要你给我播放一下中国的古时候神话剧呢	FilmTele-Play	我 需要 你 给 我 播放 一下 中国 的 古时候 神话剧 呢	3
能播放一个台湾艺人杨丞琳的戏吗	FilmTele-Play	能 播放 一个 台湾 艺人 杨丞琳 的 戏 吗	3
给放一下第20集法定丈夫	FilmTele-Play	给 放 一下 第 20 集 法定 丈夫	3
闫学晶主演的刘家媳妇现在接着放吧	FilmTele-Play	闫学晶 主演 的 刘家 媳妇 现在 接着 放 吧	3
郑凯演的我想看好久不见	FilmTele-Play	郑凯演 的 我 想 看 好久不见	3
我想继续看一会禁忌女孩可以吗	FilmTele-Play	我 想 继续 看 一会 禁忌 女孩 可以 吗	3
麻烦帮我找燃烧	FilmTele-Play	麻烦 帮 我 找 燃烧	3
自动播放台湾偶像剧想见你	FilmTele-Play	自动播放 台湾 偶像剧 想见 你	3
神话剧风云播按1点25倍速放给我	FilmTele-Play	神话剧 风云 播 按 1 点 25 倍速 放给 我	3
给我播放佘诗曼主演的使徒行者	FilmTele-Play	给 我 播放 佘诗曼 主演 的 使徒 行者	3
立刻找到 18年上的影放给我看看	FilmTele-Play	立刻 找到   18 年 上 的 影放 给 我 看看	3
2018年的喜剧西红柿首富可以帮我播放看看吗	FilmTele-Play	2018 年 的 喜剧 西红柿 首富 可以 帮 我 播放 看看 吗	3
能不能来一个16年的周星驰电影美人鱼啊	FilmTele-Play	能 不能 来 一个 16 年 的 周星驰 电影 美人鱼 啊	3
你能找一个范迪塞尔拍摄的美剧给我看吗	FilmTele-Play	你 能 找 一个 范 迪塞尔 拍摄 的 美剧 给 我 看 吗	3
国家的孩子请播放第三集	FilmTele-Play	国家 的 孩子 请 播放 第三集	3
我现在就想看历史题材的张艺谋导演的电影悬崖之上	FilmTele-Play	我 现在 就 想 看 历史 题材 的 张艺谋 导演 的 电影 悬崖 之上	3
给我播放韩剧宋仲基主演的太阳的后裔。	FilmTele-Play	给 我 播放 韩剧 宋仲基 主演 的 太阳 的 后裔 。	3
今年杨紫拍的电视剧上线的随便播放个吧	FilmTele-Play	今年 杨紫拍 的 电视剧 上线 的 随便 播放 个 吧	3
硅谷第二季的第三十集现在可以播放一下	FilmTele-Play	硅谷 第二季 的 第三十 集 现在 可以 播放 一下	3
请赐我一双翅膀的大结局	FilmTele-Play	请 赐 我 一双 翅膀 的 大结局	3
沈腾主演的西红柿首富给我搜一下	FilmTele-Play	沈腾 主演 的 西红柿 首富 给 我 搜 一下	3
找到陈数主演的和平饭店播放起来	FilmTele-Play	找到 陈数 主演 的 和平 饭店 播放 起来	3
我想继续看迪丽热巴的那个剧	FilmTele-Play	我 想 继续 看迪丽 热巴 的 那个 剧	3
请播放两集下一站是幸福。	FilmTele-Play	请 播放 两集 下 一站 是 幸福 。	3
李一桐近几年的剧随机播放一个吧	FilmTele-Play	李一桐 近几年 的 剧 随机 播放 一个 吧	3
继续播放陪你一起长大	FilmTele-Play	继续 播放 陪 你 一起 长大	3
帮我播放鹿晗演的择天记	FilmTele-Play	帮 我 播放 鹿晗演 的 择 天记	3
帮我续播一下如懿传可以吗	FilmTele-Play	帮 我续播 一下 如懿传 可以 吗	3
我想看香港导演周星驰拍的电影呢	FilmTele-Play	我 想 看 香港 导演 周星驰 拍 的 电影 呢	3
播放美国电影独立日	FilmTele-Play	播放 美国 电影 独立 日	3
杨紫秦俊杰演的龙珠传奇找到并播放一下哈	FilmTele-Play	杨紫秦 俊杰 演 的 龙珠 传奇 找到 并 播放 一下 哈	3
找个90年代台湾的偶像剧看看	FilmTele-Play	找个 90 年代 台湾 的 偶像剧 看看	3
能给我播放一个2012年的日本电影吗	FilmTele-Play	能 给 我 播放 一个 2012 年 的 日本 电影 吗	3
韩国偶像剧能随机播放一个吗，最好是太阳的后裔那种	FilmTele-Play	韩国 偶像剧 能 随机 播放 一个 吗 ， 最好 是 太阳 的 后裔 那种	3
请播放由张国荣和王祖贤主演的电影倩女幽魂。	FilmTele-Play	请 播放 由 张国荣 和 王祖贤 主演 的 电影 倩女幽魂 。	3
00年代的大陆喜剧片播放给我	FilmTele-Play	00 年代 的 大陆 喜剧片 播放 给 我	3
人生如若初相见可以播放吧	FilmTele-Play	人生 如若 初 相见 可以 播放 吧	3
能看没有秘密的你吧	FilmTele-Play	能 看 没有 秘密 的 你 吧	3
能继续播放铁齿铜牙纪晓岚2吗	FilmTele-Play	能 继续 播放 铁齿 铜牙 纪晓岚 2 吗	3
韩国2009年上线的言情剧播放一个，讲古代宫廷的	FilmTele-Play	韩国 2009 年 上线 的 言情剧 播放 一个 ， 讲 古代 宫廷 的	3
给我续播上次看的温暖的抱抱	FilmTele-Play	给 我续播 上次 看 的 温暖 的 抱抱	3
播放一个2021年的推理剧可以吗	FilmTele-Play	播放 一个 2021 年 的 推理 剧 可以 吗	3
除了漫威系列，美国科幻大片立刻找一个给我看	FilmTele-Play	除了 漫威 系列 ， 美国 科幻 大片 立刻 找 一个 给 我 看	3
重播25集经典西游记	FilmTele-Play	重播 25 集 经典 西游记	3
播幸福敲了两次门	FilmTele-Play	播 幸福 敲 了 两次 门	3
我想播放姜文导演的让子弹飞。	FilmTele-Play	我 想 播放 姜文 导演 的 让 子弹 飞 。	3
韩东君演的那个无心法师现在接着播放	FilmTele-Play	韩 东君 演 的 那个 无心 法师 现在 接着 播放	3
有没有香港周星驰导演的电影给我看一部啊	FilmTele-Play	有没有 香港 周星驰 导演 的 电影 给 我 看 一部 啊	3
日本艺人石原里美的片子给我看一个吧	FilmTele-Play	日本 艺人 石原 里 美的 片子 给 我 看 一个 吧	3
我想看一个2009年后播出的爱情剧可以吗	FilmTele-Play	我 想 看 一个 2009 年 后 播出 的 爱情 剧 可以 吗	3
麻烦帮我播一下鲜花盛开的山村	FilmTele-Play	麻烦 帮 我播 一下 鲜花 盛开 的 山村	3
快点帮我找一个古装剧武则天传奇	FilmTele-Play	快点 帮 我 找 一个 古装剧 武则天 传奇	3
下一站别离啊赶紧接着往后放	FilmTele-Play	下 一站 别离 啊 赶紧 接着 往后 放	3
我们要看大江大河	FilmTele-Play	我们 要 看 大江 大河	3
我马上就要看张译演的电视剧重生	FilmTele-Play	我 马上 就要 看张 译演 的 电视剧 重生	3
找一下陪你长大的第30集播一下	FilmTele-Play	找 一下 陪 你 长大 的 第 30 集播 一下	3
想观看蝴蝶效应这部科幻电影。	FilmTele-Play	想 观看 蝴蝶效应 这部 科幻电影 。	3
请给我放一部徐庆东导演的警察题材的电视连续剧重案六组	FilmTele-Play	请 给 我 放 一部 徐庆东 导演 的 警察 题材 的 电视 连续剧 重案 六组	3
最新的科幻片生化危机放一下	FilmTele-Play	最新 的 科幻片 生化危机 放 一下	3
我想看一下陈赫今年参演的电影	FilmTele-Play	我 想 看 一下 陈赫 今年 参演 的 电影	3
帮我播放一下暴风眼的第39集	FilmTele-Play	帮 我 播放 一下 暴风 眼 的 第 39 集	3
2020年电视剧蓝皮书计划第二季播放一下吧	FilmTele-Play	2020 年 电视剧 蓝皮书 计划 第二季 播放 一下 吧	3
随机来一个偶像剧播放第一集呢像微微一笑那种	FilmTele-Play	随机 来 一个 偶像剧 播放 第一集 呢 像 微微一笑 那种	3
马上帮我播放韩剧哦我的鬼神大人	FilmTele-Play	马上 帮 我 播放 韩剧 哦 我 的 鬼神 大人	3
找一下沈腾演的夏洛特烦恼	FilmTele-Play	找 一下 沈腾演 的 夏洛特 烦恼	3
继续给我来大发不动产	FilmTele-Play	继续 给 我 来 大发 不动产	3
能继续给我看毒液2吗	FilmTele-Play	能 继续 给 我 看 毒液 2 吗	3
能把偶像剧狐狸的夏天1播放给我吗	FilmTele-Play	能 把 偶像剧 狐狸 的 夏天 1 播放 给 我 吗	3
立刻播90年代的战争剧地道战	FilmTele-Play	立刻 播 90 年代 的 战争 剧 地道战	3
我想看偶像剧啦按顺序给我放半是蜜糖半是伤	FilmTele-Play	我 想 看 偶像剧 啦 按 顺序 给 我 放半是 蜜糖 半是 伤	3
孙俪演的那年花开月正圆给我找一下	FilmTele-Play	孙俪演 的 那年 花开 月 正圆 给 我 找 一下	3
就是赵丽颖演的那个知否知否应是绿肥红瘦那个电视剧播放一下吧	FilmTele-Play	就是 赵丽颖演 的 那个 知否 知否 应 是 绿肥红瘦 那个 电视剧 播放 一下 吧	3
浮世双娇传我想看大结局	FilmTele-Play	浮世 双娇传 我 想 看 大结局	3
理想照耀中国播放	FilmTele-Play	理想 照耀 中国 播放	3
我想你给我播放一下2021年的电视剧长歌行呢	FilmTele-Play	我 想 你 给 我 播放 一下 2021 年 的 电视剧 长 歌行 呢	3
能不能继续播放一下铁齿铜牙纪晓岚	FilmTele-Play	能 不能 继续 播放 一下 铁齿 铜牙 纪晓岚	3
禁忌女孩可以继续播放吗	FilmTele-Play	禁忌 女孩 可以 继续 播放 吗	3
播放2016年的以父之名	FilmTele-Play	播放 2016 年 的 以父之名	3
现在开始播放中国大陆沈腾出演的喜剧	FilmTele-Play	现在 开始 播放 中国 大陆 沈 腾出 演 的 喜剧	3
播放爱情电影，我在时间尽头等你	FilmTele-Play	播放 爱情 电影 ， 我 在 时间 尽头 等 你	3
找历史剧里面的封神榜给我看	FilmTele-Play	找 历史剧 里面 的 封神榜 给 我 看	3
李小江的能帮我播一下少女大人吧	FilmTele-Play	李小江 的 能 帮 我播 一下 少女 大人 吧	3
能不能继续播放一下迪丽热巴的古装剧	FilmTele-Play	能 不能 继续 播放 一下 迪丽 热巴 的 古装剧	3
许光汉主演的青春电影，想见你给我搜一下	FilmTele-Play	许光汉 主演 的 青春 电影 ， 想见 你 给 我 搜 一下	3
播放明天我们好好过	FilmTele-Play	播放 明天 我们 好好 过	3
现在播放一路上有你	FilmTele-Play	现在 播放 一路上 有 你	3
找一个日本的天空之城给我播放一下吧	FilmTele-Play	找 一个 日本 的 天空 之城 给 我 播放 一下 吧	3
我想看日本的情书，你播放一下	FilmTele-Play	我 想 看 日本 的 情书 ， 你 播放 一下	3
麻烦帮我播放金庸武侠剧神雕英雄传	FilmTele-Play	麻烦 帮 我 播放 金庸 武侠剧 神雕 英雄传	3
神探狄仁杰的第36集请从上次停止的地方开始播放	FilmTele-Play	神探 狄仁杰 的 第 36 集请 从 上次 停止 的 地方 开始 播放	3
天气之子这个日本片子播放一下可以吗	FilmTele-Play	天气 之子 这个 日本 片子 播放 一下 可以 吗	3
播放一个周星驰拍的那个香港的电影吧	FilmTele-Play	播放 一个 周星驰 拍 的 那个 香港 的 电影吧	3
超级想重温一遍2017年的速度与激情7呢	FilmTele-Play	超级 想 重温 一遍 2017 年 的 速度 与 激情 7 呢	3
听说刘敏涛的生活家好看，播放第一集看一看	FilmTele-Play	听说 刘敏涛 的 生活 家 好看 ， 播放 第一集 看一看	3
我想放00年代的电影忠犬八公的故事。	FilmTele-Play	我 想 放 00 年代 的 电影 忠犬八公 的 故事 。	3
我要看一个90年代的恐怖片呢	FilmTele-Play	我要 看 一个 90 年代 的 恐怖片 呢	3
马上找陈晓景甜主演的一场遇见爱情的旅行	FilmTele-Play	马上 找 陈晓景 甜 主演 的 一场 遇见 爱情 的 旅行	3
播放御赐小仵作的第三集可以不可以呢	FilmTele-Play	播放 御赐 小 仵作 的 第三集 可以 不 可以 呢	3
邓伦和马思纯演的那个加油你是最棒的播放	FilmTele-Play	邓伦 和 马思纯演 的 那个 加油 你 是 最 棒 的 播放	3
超凡蜘蛛侠1美国电影给我播放下吧	FilmTele-Play	超凡 蜘蛛侠 1 美国 电影 给 我 播放 下 吧	3
2000年的神话剧就播春光灿烂猪八戒	FilmTele-Play	2000 年 的 神话剧 就播 春光 灿烂 猪八戒	3
找泰国偶像剧爱在日落之前按顺序看	FilmTele-Play	找 泰国 偶像剧 爱 在 日落 之前 按 顺序 看	3
放一下00年代出品的电影无间道。	FilmTele-Play	放 一下 00 年代 出品 的 电影 无间道 。	3
请按列表播放最好的我们	FilmTele-Play	请 按 列表 播放 最好 的 我们	3
是不是能来一个美国人吴彦祖的剧啊	FilmTele-Play	是不是 能 来 一个 美国 人 吴彦祖 的 剧 啊	3
悬疑片美国电影末日之战	FilmTele-Play	悬疑片 美国 电影 末日 之战	3
我需要继续观看下一站幸福行不行	FilmTele-Play	我 需要 继续 观看 下 一站 幸福 行不行	3
播放九十年代的泰坦尼克号，这到现在还很经典	FilmTele-Play	播放 九十年代 的 泰坦尼克号 ， 这到 现在 还 很 经典	3
请播放第24集周一围演的焕脸	FilmTele-Play	请 播放 第 24 集 周一围 演 的 焕脸	3
举起手来这部喜剧片很好看，我现在要看	FilmTele-Play	举起手来 这部 喜剧片 很 好看 ， 我 现在 要 看	3
找蒋欣演的遇见幸福	FilmTele-Play	找 蒋欣演 的 遇见 幸福	3
能给我播放一个2020年比较火的古装剧吗	FilmTele-Play	能 给 我 播放 一个 2020 年 比较 火 的 古装剧 吗	3
聂远和吴谨言演的幸福还会来敲门播放一下	FilmTele-Play	聂远 和 吴谨言演 的 幸福 还会来 敲门 播放 一下	3
帮我播放完美的她	FilmTele-Play	帮 我 播放 完美 的 她	3
范冰冰参演的美国大片给我来一个	FilmTele-Play	范冰冰 参演 的 美国 大片 给 我 来 一个	3
李一桐的电视剧这几年上线的可以播放一部给我看看吗	FilmTele-Play	李一桐 的 电视剧 这 几年 上线 的 可以 播放 一部 给 我 看看 吗	3
我想你继续播放一下五月的青春	FilmTele-Play	我 想 你 继续 播放 一下 五月 的 青春	3
