x	y	cut_x	y_label_idx
想看特别关注，麻烦给我打开新闻吧	Other	想 看 特别 关注 ， 麻烦 给 我 打开 新闻 吧	6
最近还好吗现在在哪儿干什么工作呢把你的银行卡号发过来	Other	最近 还好 吗 现在 在 哪儿 干什么 工作 呢 把 你 的 银行卡 号 发过来	6
我去的时候给你打电话	Other	我 去 的 时候 给 你 打电话	6
虽然天气不好飞机还是照常起飞了	Other	虽然 天气 不好 飞机 还是 照常 起飞 了	6
找给我一个这个时间在教做饭的生活电台	Other	找 给 我 一个 这个 时间 在 教 做饭 的 生活 电台	6
我想知道你心里怎么想的	Other	我 想 知道 你 心里 怎么 想 的	6
安志杰与谢婷婷恩爱走秀笑指女友是发电厂图	Other	安志杰 与 谢婷婷 恩爱 走秀笑 指 女友 是 发电厂 图	6
看完介绍我可以为你解答的	Other	看 完 介绍 我 可以 为 你 解答 的	6
便主动打电话问有没有缺人	Other	便 主动 打电话 问 有没有 缺 人	6
推理类的有声漫画给我播一个	Other	推理 类 的 有声 漫画 给 我播 一个	6
估计你吃不着菜还没端上来你就得回去	Other	估计 你 吃 不 着 菜 还 没 端上来 你 就 得 回去	6
近期快手火爆的歌曲给随机来一首吧	Other	近期 快手 火爆 的 歌曲 给 随机 来 一首 吧	6
你把我烦死了一晚上一个问题都没有答对啊	Other	你 把 我 烦死 了 一 晚上 一个 问题 都 没有 答对 啊	6
那我就不打扰你休息了	Other	那 我 就 不 打扰 你 休息 了	6
找个经典国漫看	Other	找个 经典 国漫 看	6
我说给我找点好听的歌	Other	我 说 给 我 找点 好 听的歌	6
我说我的手机刚才掉地上摔坏了	Other	我 说 我 的 手机 刚才 掉 地上 摔坏 了	6
我打哪个电话可以开通啊请说一下号码我想这回打电话开通谢谢了	Other	我 打 哪个 电话 可以 开通 啊 请 说 一下 号码 我 想 这回 打电话 开通 谢谢 了	6
我真的不知道怎么办了	Other	我 真的 不 知道 怎么办 了	6
感情很难有对错只有合不合适	Other	感情 很难 有 对错 只有 合 不 合适	6
言情有声漫画播一个给我	Other	言情 有声 漫画 播 一个 给 我	6
国产三菱蓝色神翼加售价	Other	国产 三菱 蓝色 神翼加 售价	6
给我播放仙侠类的有声漫画	Other	给 我 播放 仙侠 类 的 有声 漫画	6
那我的手机号码是多少	Other	那 我 的 手机号码 是 多少	6
我很幸运我做的是自己的专业	Other	我 很 幸运 我 做 的 是 自己 的 专业	6
我现在不想睡觉怎么办	Other	我 现在 不想 睡觉 怎么办	6
拨打幺幺零拨打幺幺零	Other	拨打 幺 幺 零 拨打 幺 幺 零	6
把你身份证号码发给我嘛	Other	把 你 身份证 号码 发给 我 嘛	6
敏敏我在家里呆着烦躁你在家吗在的话我去找你一起出去逛一下吧	Other	敏敏 我 在 家里 呆 着 烦躁 你 在家 吗 在 的话 我 去 找 你 一起 出去 逛 一下 吧	6
李倩在节目中享足浴尝美食与主持人李静和张瑶全都玩了	Other	李倩 在 节目 中享 足浴 尝 美食 与 主持人 李静 和 张瑶 全都 玩 了	6
不过宣萱承认有买房子但否认是用来做爱巢	Other	不过 宣萱 承认 有 买房子 但 否认 是 用来 做 爱巢	6
是不是有什么好的兆头笑	Other	是不是 有 什么 好 的 兆头 笑	6
我说下次见面要好好拥抱一下她也回说对我来说这就够了	Other	我 说 下次 见面 要 好好 拥抱 一下 她 也 回 说 对 我 来说 这 就 够 了	6
上车前记者祝他幸福他才略带笑意说好啦	Other	上车 前 记者 祝 他 幸福 他 才 略带 笑意 说好 啦	6
给我随便找一个已经完结的战斗动漫	Other	给 我 随便 找 一个 已经 完结 的 战斗 动漫	6
那射手座呢牧羊座呢牧羊座是白羊座吗	Other	那 射手座 呢 牧羊座 呢 牧羊座 是 白羊座 吗	6
自己想干什么就干什么	Other	自己 想干什么 就 干什么	6
没有啊你想到哪里去了正收拾呢	Other	没有 啊 你 想到 哪里 去 了 正 收拾 呢	6
那是个怎么个情况法呢	Other	那 是 个 怎么 个 情况 法 呢	6
你能推荐一些好听的歌曲给我吗	Other	你 能 推荐 一些 好听 的 歌曲 给 我 吗	6
轻音乐难道不是世间最好听的音乐吗	Other	轻音乐 难道 不是 世间 最好 听 的 音乐 吗	6
我们希望在两部影片的制片工作之间有间隔	Other	我们 希望 在 两部 影片 的 制片 工作 之间 有 间隔	6
我要听一首最火爆的爵士乐	Other	我要 听 一首 最 火爆 的 爵士乐	6
各位亲朋好友祝福我们吧	Other	各位 亲朋好友 祝福 我们 吧	6
她担心外界人的眼光又怕家人担心觉得愧对他们	Other	她 担心 外界 人 的 眼光 又 怕 家人 担心 觉得 愧对 他们	6
那么漂亮的一个都没有	Other	那么 漂亮 的 一个 都 没有	6
我已经去存一千块钱了不够到时再存	Other	我 已经 去存 一千块 钱 了 不够 到 时 再存	6
我现在都不敢拿出来看因为拍得实在太逗了	Other	我 现在 都 不敢 拿出 来看 因为 拍 得 实在 太逗 了	6
这样回就不对了嘛上条的回复谁看了也不会满意的	Other	这样 回 就 不 对 了 嘛 上 条 的 回复 谁 看 了 也 不会 满意 的	6
我国首架空客A三八零飞机	Other	我国 首架 空客 A 三八 零 飞机	6
我也不知道跟你说什么	Other	我 也 不 知道 跟 你 说 什么	6
刑侦题材的有声小说帮我找一下吧	Other	刑侦 题材 的 有声 小说 帮 我 找 一下 吧	6
而且这次的组织也比较成功	Other	而且 这次 的 组织 也 比较 成功	6
同样的情况在网上也如出一辙	Other	同样 的 情况 在 网上 也 如出一辙	6
至于礼物小表示还在考虑当中到时你们就会知道了	Other	至于 礼物 小 表示 还 在 考虑 当中 到 时 你们 就 会 知道 了	6
已经到家了哈哈可爽了	Other	已经 到家 了 哈哈 可爽 了	6
请帮我看一下旁边有没有什么公交车	Other	请 帮 我 看 一下 旁边 有没有 什么 公交车	6
四百九十六除一百零二	Other	四百 九十六 除 一百零二	6
那些我都知道只是不晓得怎么才能安心	Other	那些 我 都 知道 只是 不 晓得 怎么 才能 安心	6
你总是有得玩儿有得喝就没管没顾	Other	你 总是 有 得 玩儿 有 得 喝 就 没管 没顾	6
罗嘉良九九九娶苏岩将到欧洲度蜜月图	Other	罗嘉良 九九九 娶 苏岩 将 到 欧洲 度蜜月 图	6
我在上班一会儿回你电话	Other	我 在 上班 一会儿回 你 电话	6
我老婆现在不开心了怎么办	Other	我 老婆 现在 不 开心 了 怎么办	6
快点我需要去电视台，如何走红绿灯才最少呢	Other	快点 我 需要 去 电视台 ， 如何 走 红绿灯 才 最少 呢	6
去死吧我不要跟你说话	Other	去死吧 我 不要 跟 你 说话	6
发烧前头痛发烧后吃药了就退烧是猪流感吗	Other	发烧 前 头痛 发烧 后 吃药 了 就 退烧 是 猪 流感 吗	6
记者获悉央视每年的购剧数量在二零零零集左右	Other	记者 获悉 央视 每年 的 购剧 数量 在 二 零零 零集 左右	6
现在山寨版春晚已得到一些商家支持比如提供场地网络资源等	Other	现在 山寨 版 春晚 已 得到 一些 商家 支持 比如 提供 场地 网络资源 等	6
口碑之下该片还火速走红网络	Other	口碑 之下 该片 还 火速 走红 网络	6
请问减肥有什么好方法吗	Other	请问 减肥 有 什么 好 方法 吗	6
那还不是因为你吗你啊	Other	那 还 不是 因为 你 吗 你 啊	6
卡通现在有什么节目可以打发时间我想看下	Other	卡通 现在 有 什么 节目 可以 打发 时间 我 想 看 下	6
问道歉是否因觉得影响了她的形象	Other	问 道歉 是否 因 觉得 影响 了 她 的 形象	6
有些事不是你想的那么简单	Other	有些 事 不是 你 想 的 那么 简单	6
搞笑有声漫画播一个给我	Other	搞笑 有声 漫画 播 一个 给 我	6
感情的事是不能强求的	Other	感情 的 事 是 不能 强求 的	6
其实我平时真的不怎么保养但是我的生活很健康	Other	其实 我 平时 真的 不怎么 保养 但是 我 的 生活 很 健康	6
他也跟很多现在的师兄弟认识了	Other	他 也 跟 很多 现在 的 师兄弟 认识 了	6
什么新电影介绍给我看吗	Other	什么 新 电影 介绍 给 我 看 吗	6
能荣幸成为你的好友吗	Other	能 荣幸 成为 你 的 好友 吗	6
你不是不用吃饭了吗你不是机器人吗不用睡觉不用吃饭的	Other	你 不是 不用 吃饭 了 吗 你 不是 机器人 吗 不用 睡觉 不用 吃饭 的	6
产前虚弱怎样用中药调理	Other	产 前 虚弱 怎样 用 中药 调理	6
飞轮海负伤排舞谢歌迷为保持最佳状态进补图	Other	飞轮海 负伤 排舞谢 歌迷 为 保持 最佳 状态 进补 图	6
小子在那儿买桶水上来	Other	小子 在 那儿 买桶 水上 来	6
同样是在两名随行的助手和众多保安的簇拥下李冰冰迅速离开会场	Other	同样 是 在 两名 随行 的 助手 和 众多 保安 的 簇拥 下 李冰冰 迅速 离开 会场	6
看到有什么想法会写下来	Other	看到 有 什么 想法 会 写 下来	6
帮我打开合肥购物看看合肥购物正在卖些什么东西	Other	帮 我 打开 合肥 购物 看看 合肥 购物 正在 卖些 什么 东西	6
限播令势必让影视公司走上精品化道路	Other	限播 令 势必 让 影视 公司 走上 精品化 道路	6
随便播一个都市的有声小说	Other	随便 播 一个 都市 的 有声 小说	6
我偶尔会想安静的听一首歌	Other	我 偶尔 会想 安静 的 听 一首歌	6
同时两个孩子的父母也都表示今后要严格管教孩子	Other	同时 两个 孩子 的 父母 也 都 表示 今后 要 严格 管教 孩子	6
下次见面说话不要这么大声	Other	下次 见面 说话 不要 这么 大声	6
因为这个是检查院的事	Other	因为 这个 是 检查 院 的 事	6
最便宜的车都有什么车	Other	最 便宜 的 车 都 有 什么 车	6
这里是北京应该是在北京新闻播放，帮我转到那吧	Other	这里 是 北京 应该 是 在 北京 新闻 播放 ， 帮 我 转到 那 吧	6
最好的东西往往出现在不经意之间	Other	最好 的 东西 往往 出现 在 不经意 之间	6
可以告诉我下，蛋糕还有多久烤好吗	Other	可以 告诉 我下 ， 蛋糕 还有 多久 烤 好 吗	6
当然这些粉丝是需要出场费的看来小品将讽刺箭头直指娱乐圈	Other	当然 这些 粉丝 是 需要 出场费 的 看来 小品 将 讽刺 箭头 直指 娱乐圈	6
但是如果主刀医生的资质合法这就是一起民事医疗服务纠纷	Other	但是 如果 主刀 医生 的 资质 合法 这 就是 一起 民事 医疗 服务 纠纷	6
没多久有一女友人到场韩君婷跟对方聊个不停	Other	没多久 有 一 女友 人 到场 韩君婷 跟 对方 聊个 不停	6
随便给找一个连载的国漫看	Other	随便 给 找 一个 连载 的 国漫 看	6
因为和我的性格很相近生活中的我甚至有时候比她还二	Other	因为 和 我 的 性格 很 相近 生活 中 的 我 甚至 有时候 比 她 还 二	6
具体什么时候我也不知道	Other	具体 什么 时候 我 也 不 知道	6
有正放摇滚歌的音乐电台吧找来听	Other	有 正放 摇滚 歌 的 音乐 电台 吧 找 来 听	6
物质上我希望能够跟周围的人保持一致就好这样对小孩成长也好	Other	物质 上 我 希望 能够 跟 周围 的 人 保持一致 就 好 这样 对 小孩 成长 也好	6
放一首表达爱情的英文歌曲呢	Other	放 一首 表达 爱情 的 英文歌曲 呢	6
要喊的我在宿舍听得见啊	Other	要 喊 的 我 在 宿舍 听得见 啊	6
开始播放一首关于爱情的古典音乐吧	Other	开始 播放 一首 关于 爱情 的 古典音乐 吧	6
看热闹的不怕事大娱乐圈没有永远的正面只有永远的媒体	Other	看热闹 的 不怕 事大 娱乐圈 没有 永远 的 正面 只有 永远 的 媒体	6
给我播放惊悚类的有声漫画	Other	给 我 播放 惊悚 类 的 有声 漫画	6
以后走不走这条路我说了不算	Other	以后 走 不 走 这 条路 我 说 了 不算	6
我现在心情不好你不要烦我	Other	我 现在 心情 不好 你 不要 烦 我	6
能不能随机来一首民谣呢	Other	能 不能 随机 来 一首 民谣 呢	6
其中某一线实力派某青年大牌一线女星等均在黑名单之列	Other	其中 某 一线 实力派 某 青年 大牌 一线 女 星等 均 在 黑名单 之 列	6
你叫什么名字我问的是你叫什么名字	Other	你 叫 什么 名字 我 问 的 是 你 叫 什么 名字	6
音乐节奏唱歌的咬字要都搭配得进去还有文字上和视觉的呈现	Other	音乐 节奏 唱歌 的 咬字 要 都 搭配 得 进去 还有 文字 上 和 视觉 的 呈现	6
给我来一首放空内的歌曲吧	Other	给 我 来 一首 放空 内 的 歌曲 吧	6
让我看看你长的什么样	Other	让 我 看看 你 长 的 什么样	6
已经出来了可以查询了	Other	已经 出来 了 可以 查询 了	6
